구분,문항 번호,질문 내용,변수명
개인,Q509-1,디지털 기기 접근성 체감도는?,p509access
개인,Q509-2,기기 접근성 장애 요인은?,p509barrier
개인,Q509-3,접근성 향상을 위한 노력은?,p509effort
개인,Q509-4,정부 기기 접근 정책 인식은?,p509govpolicy
개인,Q509-5,향후 접근 정책 기대는?,p509govhope
개인,Q510-1,디지털 기술의 환경 영향 인식은?,p510impact
개인,Q510-2,환경 보호 노력 참여 경험은?,p510effort
개인,Q510-3,디지털 환경정책 체감도는?,p510govfeel
개인,Q510-4,정부 환경정책 인식은?,p510govpolicy
개인,Q510-5,향후 환경 정책 기대는?,p510govhope
개인,Q511-1,디지털 기술이 개인 가치관에 미친 영향은?,p511value
개인,Q511-2,가치관 변화 경험은?,p511change
개인,Q511-3,가치관 형성에 영향 준 요인은?,p511factor
개인,Q511-4,정부 가치관 형성 관련 정책 인식은?,p511govpolicy
개인,Q511-5,향후 관련 정책 기대는?,p511govhope
개인,Q512-1,디지털 기술 관련 법제도 인식 여부는?,p512law
개인,Q512-2,법제도 정보 접근 경험은?,p512info
개인,Q512-3,법제도 개선 요구사항은?,p512need
개인,Q512-4,정부 법제도 홍보 정책 인식은?,p512govpolicy
개인,Q512-5,향후 법제도 개선 정책 기대는?,p512govhope
개인,Q513-1,디지털 기술과 문화 향유 경험은?,p513culture
개인,Q513-2,디지털 문화 콘텐츠 이용 빈도는?,p513frequency
개인,Q513-3,문화 콘텐츠 만족도는?,p513satisfaction
개인,Q513-4,정부 문화 지원 정책 인식은?,p513govpolicy
개인,Q513-5,향후 문화 정책 기대는?,p513govhope
