구분,문항 번호,질문 내용,변수명
개인,Q1386-1,디지털 직무의 AI 기반 건강 보험 예측 시스템 사용 경험은?,p1386insurance
개인,Q1386-2,사용 목적은?,p1386purpose
개인,Q1386-3,사용 시 장애 요인은?,p1386barrier
개인,Q1386-4,정부 보험 정책 인식은?,p1386govpolicy
개인,Q1386-5,향후 정책 기대는?,p1386govhope
개인,Q1387-1,디지털 직무의 AI 기반 운동 부상 예측 시스템 사용 경험은?,p1387injury
개인,Q1387-2,사용 목적은?,p1387purpose
개인,Q1387-3,사용 시 장애 요인은?,p1387barrier
개인,Q1387-4,정부 부상 예측 정책 인식은?,p1387govpolicy
개인,Q1387-5,향후 정책 기대는?,p1387govhope
개인,Q1388-1,디지털 직무의 AI 기반 감정 상태 분석 시스템 사용 경험은?,p1388emotion
개인,Q1388-2,사용 목적은?,p1388purpose
개인,Q1388-3,사용 시 장애 요인은?,p1388barrier
개인,Q1388-4,정부 감정 분석 정책 인식은?,p1388govpolicy
개인,Q1388-5,향후 정책 기대는?,p1388govhope
개인,Q1389-1,디지털 직무의 AI 기반 비대면 진료 예약 시스템 사용 경험은?,p1389appointment
개인,Q1389-2,사용 목적은?,p1389purpose
개인,Q1389-3,사용 시 장애 요인은?,p1389barrier
개인,Q1389-4,정부 비대면 진료 정책 인식은?,p1389govpolicy
개인,Q1389-5,향후 정책 기대는?,p1389govhope
