구분,문항 번호,질문 내용,변수명
개인,Q1414-1,디지털 직무의 AI 기반 건강 위험 행동 예측 시스템 사용 경험은?,p1414riskact
개인,Q1414-2,사용 목적은?,p1414purpose
개인,Q1414-3,사용 시 장애 요인은?,p1414barrier
개인,Q1414-4,정부 위험 행동 예측 정책 인식은?,p1414govpolicy
개인,Q1414-5,향후 정책 기대는?,p1414govhope
개인,Q1415-1,디지털 직무의 AI 기반 질병 예후 예측 시스템 사용 경험은?,p1415prognosis
개인,Q1415-2,사용 목적은?,p1415purpose
개인,Q1415-3,사용 시 장애 요인은?,p1415barrier
개인,Q1415-4,정부 질병 예후 정책 인식은?,p1415govpolicy
개인,Q1415-5,향후 정책 기대는?,p1415govhope
개인,Q1416-1,디지털 직무의 AI 기반 생활습관 개선 서비스 사용 경험은?,p1416habit
개인,Q1416-2,사용 목적은?,p1416purpose
개인,Q1416-3,사용 시 장애 요인은?,p1416barrier
개인,Q1416-4,정부 생활습관 정책 인식은?,p1416govpolicy
개인,Q1416-5,향후 정책 기대는?,p1416govhope
개인,Q1417-1,디지털 직무의 AI 기반 건강 취약계층 식별 시스템 사용 경험은?,p1417vulnerable
개인,Q1417-2,사용 목적은?,p1417purpose
개인,Q1417-3,사용 시 장애 요인은?,p1417barrier
개인,Q1417-4,정부 취약계층 정책 인식은?,p1417govpolicy
개인,Q1417-5,향후 정책 기대는?,p1417govhope
