구분,문항 번호,질문 내용,변수명
개인,Q1010-1,디지털 직무의 사회적 인정 수준은?,p1010recognition
개인,Q1010-2,사회적 인정 경험은?,p1010experience
개인,Q1010-3,인정 부족 시 영향은?,p1010impact
개인,Q1010-4,정부 인정 증진 정책 인식은?,p1010govpolicy
개인,Q1010-5,향후 정책 기대는?,p1010govhope
개인,Q1011-1,디지털 직무의 기술 변화 대응 능력은?,p1011techadapt
개인,Q1011-2,기술 변화 대응 방식은?,p1011method
개인,Q1011-3,기술 변화 대응의 어려움은?,p1011barrier
개인,Q1011-4,정부 기술 변화 정책 인식은?,p1011govpolicy
개인,Q1011-5,향후 정책 기대는?,p1011govhope
개인,Q1012-1,디지털 직무의 일관된 경력 경로 인식은?,p1012path
개인,Q1012-2,경력 경로 확보 전략은?,p1012strategy
개인,Q1012-3,경력 경로 설정의 장애는?,p1012barrier
개인,Q1012-4,정부 경력 경로 정책 인식은?,p1012govpolicy
개인,Q1012-5,향후 정책 기대는?,p1012govhope
개인,Q1013-1,디지털 직무의 직장 내 관계 만족도는?,p1013relation
개인,Q1013-2,좋은 관계 형성 요인은?,p1013factor
개인,Q1013-3,관계 갈등 경험은?,p1013conflict
개인,Q1013-4,정부 관계 개선 정책 인식은?,p1013govpolicy
개인,Q1013-5,향후 정책 기대는?,p1013govhope
