구분,문항 번호,질문 내용,변수명
개인,Q1210-1,디지털 직무의 전자서명 사용 경험은?,p1210esign
개인,Q1210-2,전자서명 활용 목적은?,p1210purpose
개인,Q1210-3,전자서명 사용 문제는?,p1210barrier
개인,Q1210-4,정부 전자서명 정책 인식은?,p1210govpolicy
개인,Q1210-5,향후 정책 기대는?,p1210govhope
개인,Q1211-1,디지털 직무의 전자문서 시스템 활용 경험은?,p1211edoc
개인,Q1211-2,전자문서 활용 목적은?,p1211purpose
개인,Q1211-3,전자문서 활용 문제는?,p1211barrier
개인,Q1211-4,정부 전자문서 정책 인식은?,p1211govpolicy
개인,Q1211-5,향후 정책 기대는?,p1211govhope
개인,Q1212-1,디지털 직무의 RPA 기술 도입 경험은?,p1212rpa
개인,Q1212-2,RPA 도입 목적은?,p1212purpose
개인,Q1212-3,도입 어려움은?,p1212barrier
개인,Q1212-4,정부 RPA 정책 인식은?,p1212govpolicy
개인,Q1212-5,향후 정책 기대는?,p1212govhope
개인,Q1213-1,디지털 직무의 ICT 기술 전반 활용 경험은?,p1213ict
개인,Q1213-2,ICT 기술 활용 목적은?,p1213purpose
개인,Q1213-3,활용 장애 요인은?,p1213barrier
개인,Q1213-4,정부 ICT 정책 인식은?,p1213govpolicy
개인,Q1213-5,향후 정책 기대는?,p1213govhope
