구분,문항 번호,질문 내용,변수명
개인,Q942-1,디지털 직무의 일과 삶의 균형 만족도는?,p942balance
개인,Q942-2,균형에 기여한 요소는?,p942factor
개인,Q942-3,균형을 방해하는 요인은?,p942barrier
개인,Q942-4,정부 일과 삶의 균형 정책 인식은?,p942govpolicy
개인,Q942-5,향후 정책 기대는?,p942govhope
개인,Q943-1,디지털 직무의 재교육 경험 여부는?,p943retrain
개인,Q943-2,재교육 내용은?,p943content
개인,Q943-3,재교육 효과에 대한 평가는?,p943effect
개인,Q943-4,정부 재교육 정책 인식은?,p943govpolicy
개인,Q943-5,향후 정책 기대는?,p943govhope
개인,Q944-1,디지털 직무의 기술 변화 적응력 수준은?,p944adapt
개인,Q944-2,적응 시 도움이 된 자원은?,p944resource
개인,Q944-3,적응 과정의 어려움은?,p944barrier
개인,Q944-4,정부 기술 변화 대응 정책 인식은?,p944govpolicy
개인,Q944-5,향후 정책 기대는?,p944govhope
개인,Q945-1,디지털 직무의 인공지능 도입 체감도는?,p945ai
개인,Q945-2,도입 분야는?,p945area
개인,Q945-3,도입 효과에 대한 평가는?,p945effect
개인,Q945-4,정부 인공지능 정책 인식은?,p945govpolicy
개인,Q945-5,향후 정책 기대는?,p945govhope
