구분,문항 번호,질문 내용,변수명
개인,Q786-1,디지털 직무의 직장 내 갈등 경험은?,p786conflict
개인,Q786-2,갈등의 주요 원인은?,p786cause
개인,Q786-3,갈등 해결 방식은?,p786solution
개인,Q786-4,정부 갈등 관리 정책 인식은?,p786govpolicy
개인,Q786-5,향후 정책 기대는?,p786govhope
개인,Q787-1,디지털 직무의 조직 몰입도는?,p787commitment
개인,Q787-2,몰입의 요인은?,p787factor
개인,Q787-3,몰입 저해 요인은?,p787barrier
개인,Q787-4,정부 조직 몰입 정책 인식은?,p787govpolicy
개인,Q787-5,향후 정책 기대는?,p787govhope
개인,Q788-1,디지털 직무의 직업 안정성 인식은?,p788stability
개인,Q788-2,안정성에 대한 우려 요인은?,p788concern
개인,Q788-3,안정성 확보 방안은?,p788solution
개인,Q788-4,정부 직업 안정 정책 인식은?,p788govpolicy
개인,Q788-5,향후 정책 기대는?,p788govhope
개인,Q789-1,디지털 직무의 직업 윤리 인식은?,p789ethics
개인,Q789-2,윤리 위반 사례 경험은?,p789violation
개인,Q789-3,윤리 강화 방안은?,p789reinforce
개인,Q789-4,정부 직업 윤리 정책 인식은?,p789govpolicy
개인,Q789-5,향후 정책 기대는?,p789govhope
