구분,문항 번호,질문 내용,변수명
개인,Q654-1,디지털 직무의 자기계발 기여도는?,p654development
개인,Q654-2,자기계발 실천 경험은?,p654practice
개인,Q654-3,자기계발 장벽은?,p654barrier
개인,Q654-4,정부 자기계발 지원 정책 인식은?,p654govpolicy
개인,Q654-5,향후 정책 기대는?,p654govhope
개인,Q655-1,디지털 직무의 사회적 기여 인식은?,p655contribution
개인,Q655-2,기여 내용은?,p655content
개인,Q655-3,기여의 장벽은?,p655barrier
개인,Q655-4,정부 사회적 기여 정책 인식은?,p655govpolicy
개인,Q655-5,향후 정책 기대는?,p655govhope
개인,Q656-1,디지털 직무와 가족생활의 균형 수준은?,p656balance
개인,Q656-2,균형 실천 방법은?,p656method
개인,Q656-3,균형 실천 장애 요인은?,p656barrier
개인,Q656-4,정부 일가정 양립 정책 인식은?,p656govpolicy
개인,Q656-5,향후 정책 기대는?,p656govhope
개인,Q657-1,디지털 직무로 인한 건강 변화 인식은?,p657health
개인,Q657-2,건강 변화의 원인은?,p657cause
개인,Q657-3,건강 유지 노력은?,p657effort
개인,Q657-4,정부 건강 지원 정책 인식은?,p657govpolicy
개인,Q657-5,향후 정책 기대는?,p657govhope
개인,Q658-1,디지털 직무의 직업 정체성 형성 영향은?,p658identity
개인,Q658-2,정체성 형성 요인은?,p658factor
개인,Q658-3,정체성 형성 장애 요인은?,p658barrier
개인,Q658-4,정부 직업 정체성 정책 인식은?,p658govpolicy
개인,Q658-5,향후 정책 기대는?,p658govhope
