구분,문항 번호,질문 내용,변수명
개인,Q1178-1,디지털 직무의 직무 안정성 인식은?,p1178stability
개인,Q1178-2,불안정성 요인은?,p1178barrier
개인,Q1178-3,안정성 확보 방안은?,p1178solution
개인,Q1178-4,정부 직무 안정 정책 인식은?,p1178govpolicy
개인,Q1178-5,향후 정책 기대는?,p1178govhope
개인,Q1179-1,디지털 직무의 조직 내 평등성 인식은?,p1179equality
개인,Q1179-2,불평등 경험은?,p1179issue
개인,Q1179-3,평등성 확보 방안은?,p1179solution
개인,Q1179-4,정부 평등 정책 인식은?,p1179govpolicy
개인,Q1179-5,향후 정책 기대는?,p1179govhope
개인,Q1180-1,디지털 직무의 지속 가능성 인식은?,p1180sustain
개인,Q1180-2,지속 가능성 저해 요인은?,p1180barrier
개인,Q1180-3,지속 가능성 향상 방안은?,p1180solution
개인,Q1180-4,정부 지속 가능 정책 인식은?,p1180govpolicy
개인,Q1180-5,향후 정책 기대는?,p1180govhope
개인,Q1181-1,디지털 직무의 사회적 책임 인식은?,p1181social
개인,Q1181-2,사회적 책임 실천 어려움은?,p1181barrier
개인,Q1181-3,사회적 책임 촉진 방안은?,p1181solution
개인,Q1181-4,정부 사회적 책임 정책 인식은?,p1181govpolicy
개인,Q1181-5,향후 정책 기대는?,p1181govhope
