구분,문항 번호,질문 내용,변수명
개인,Q589-1,디지털 기술의 사회적 신뢰 형성 영향은?,p589trust
개인,Q589-2,신뢰 형성 사례 경험은?,p589example
개인,Q589-3,신뢰 저해 요인은?,p589barrier
개인,Q589-4,정부 신뢰 증진 정책 인식은?,p589govpolicy
개인,Q589-5,향후 정책 기대는?,p589govhope
개인,Q590-1,디지털 사회에서의 갈등 경험 여부는?,p590conflict
개인,Q590-2,갈등의 원인은?,p590cause
개인,Q590-3,갈등 해결 노력은?,p590effort
개인,Q590-4,정부 갈등 해소 정책 인식은?,p590govpolicy
개인,Q590-5,향후 정책 기대는?,p590govhope
개인,Q591-1,디지털 시대의 공익 활동 참여 경험은?,p591public
개인,Q591-2,공익 활동 유형은?,p591type
개인,Q591-3,공익 활동의 동기는?,p591motive
개인,Q591-4,정부 공익 활동 정책 인식은?,p591govpolicy
개인,Q591-5,향후 정책 기대는?,p591govhope
개인,Q592-1,디지털 사회에서의 개인의 영향력 인식은?,p592influence
개인,Q592-2,영향력 행사 경험은?,p592experience
개인,Q592-3,영향력 행사 장애 요인은?,p592barrier
개인,Q592-4,정부 시민 영향력 확대 정책 인식은?,p592govpolicy
개인,Q592-5,향후 정책 기대는?,p592govhope
개인,Q593-1,디지털 기술이 사회 규범 변화에 미친 영향은?,p593norm
개인,Q593-2,사회 규범 변화 사례 인식은?,p593example
개인,Q593-3,규범 변화에 대한 태도는?,p593attitude
개인,Q593-4,정부 규범 정책 인식은?,p593govpolicy
개인,Q593-5,향후 정책 기대는?,p593govhope
