구분,문항 번호,질문 내용,변수명
개인,Q1342-1,디지털 직무의 AI 기반 스팸 필터링 시스템 사용 경험은?,p1342spam
개인,Q1342-2,사용 목적은?,p1342purpose
개인,Q1342-3,사용 시 장애 요인은?,p1342barrier
개인,Q1342-4,정부 스팸 정책 인식은?,p1342govpolicy
개인,Q1342-5,향후 정책 기대는?,p1342govhope
개인,Q1343-1,디지털 직무의 AI 기반 보안 로그 분석 시스템 사용 경험은?,p1343log
개인,Q1343-2,사용 목적은?,p1343purpose
개인,Q1343-3,사용 시 장애 요인은?,p1343barrier
개인,Q1343-4,정부 보안 로그 정책 인식은?,p1343govpolicy
개인,Q1343-5,향후 정책 기대는?,p1343govhope
개인,Q1344-1,디지털 직무의 AI 기반 위험 예측 시스템 사용 경험은?,p1344risk
개인,Q1344-2,사용 목적은?,p1344purpose
개인,Q1344-3,사용 시 장애 요인은?,p1344barrier
개인,Q1344-4,정부 위험 예측 정책 인식은?,p1344govpolicy
개인,Q1344-5,향후 정책 기대는?,p1344govhope
개인,Q1345-1,디지털 직무의 AI 기반 개인정보 보호 시스템 사용 경험은?,p1345privacy
개인,Q1345-2,사용 목적은?,p1345purpose
개인,Q1345-3,사용 시 장애 요인은?,p1345barrier
개인,Q1345-4,정부 개인정보 정책 인식은?,p1345govpolicy
개인,Q1345-5,향후 정책 기대는?,p1345govhope
