구분,문항 번호,질문 내용,변수명
개인,Q746-1,디지털 직무의 기술 변화 인식은?,p746techchange
개인,Q746-2,기술 변화 대응 경험은?,p746response
개인,Q746-3,기술 변화 대응 어려움은?,p746barrier
개인,Q746-4,정부 기술 변화 대응 정책 인식은?,p746govpolicy
개인,Q746-5,향후 정책 기대는?,p746govhope
개인,Q747-1,디지털 직무의 기술 격차 인식은?,p747gap
개인,Q747-2,기술 격차 원인은?,p747cause
개인,Q747-3,기술 격차 해소 노력은?,p747effort
개인,Q747-4,정부 기술 격차 해소 정책 인식은?,p747govpolicy
개인,Q747-5,향후 정책 기대는?,p747govhope
개인,Q748-1,디지털 직무의 미래 직업 변화 인식은?,p748future
개인,Q748-2,미래 직업 준비 정도는?,p748readiness
개인,Q748-3,준비의 어려움은?,p748barrier
개인,Q748-4,정부 미래 직업 정책 인식은?,p748govpolicy
개인,Q748-5,향후 정책 기대는?,p748govhope
개인,Q749-1,디지털 직무의 직무 전환 가능성 인식은?,p749conversion
개인,Q749-2,전환 고려 이유는?,p749reason
개인,Q749-3,전환 시 장애 요인은?,p749barrier
개인,Q749-4,정부 직무 전환 정책 인식은?,p749govpolicy
개인,Q749-5,향후 정책 기대는?,p749govhope
