구분,문항 번호,질문 내용,변수명
개인,Q1174-1,디지털 직무의 조직 내 신뢰 수준은?,p1174trust
개인,Q1174-2,신뢰 부족 원인은?,p1174barrier
개인,Q1174-3,신뢰 향상 방안은?,p1174solution
개인,Q1174-4,정부 조직 신뢰 정책 인식은?,p1174govpolicy
개인,Q1174-5,향후 정책 기대는?,p1174govhope
개인,Q1175-1,디지털 직무의 윤리적 기준 인식은?,p1175ethics
개인,Q1175-2,윤리적 문제 경험은?,p1175issue
개인,Q1175-3,윤리 교육 필요성 인식은?,p1175edu
개인,Q1175-4,정부 윤리 정책 인식은?,p1175govpolicy
개인,Q1175-5,향후 정책 기대는?,p1175govhope
개인,Q1176-1,디지털 직무의 성과보상 제도 만족도는?,p1176reward
개인,Q1176-2,보상 불만족 요인은?,p1176barrier
개인,Q1176-3,보상 제도 개선 방안은?,p1176solution
개인,Q1176-4,정부 보상 제도 정책 인식은?,p1176govpolicy
개인,Q1176-5,향후 정책 기대는?,p1176govhope
개인,Q1177-1,디지털 직무의 경력 개발 인식은?,p1177career
개인,Q1177-2,경력 개발 어려움은?,p1177barrier
개인,Q1177-3,경력 개발 지원 방안은?,p1177solution
개인,Q1177-4,정부 경력 정책 인식은?,p1177govpolicy
개인,Q1177-5,향후 정책 기대는?,p1177govhope
