구분,문항 번호,질문 내용,변수명
개인,Q614-1,디지털 기술 사용의 자기 통제력 수준은?,p614selfcontrol
개인,Q614-2,과도한 사용 경험은?,p614overuse
개인,Q614-3,사용 조절을 위한 노력은?,p614effort
개인,Q614-4,정부 자기 통제 지원 정책 인식은?,p614govpolicy
개인,Q614-5,향후 정책 기대는?,p614govhope
개인,Q615-1,디지털 사회에서의 정체성 혼란 경험은?,p615confusion
개인,Q615-2,혼란의 원인은?,p615cause
개인,Q615-3,극복을 위한 노력은?,p615effort
개인,Q615-4,정부 정체성 지원 정책 인식은?,p615govpolicy
개인,Q615-5,향후 정책 기대는?,p615govhope
개인,Q616-1,디지털 기술의 감정 표현에 미친 영향은?,p616emotion
개인,Q616-2,감정 표현 방식은?,p616method
개인,Q616-3,표현의 어려움은?,p616difficulty
개인,Q616-4,정부 감정표현 정책 인식은?,p616govpolicy
개인,Q616-5,향후 정책 기대는?,p616govhope
개인,Q617-1,디지털 사회에서 공감 능력 변화 인식은?,p617empathy
개인,Q617-2,공감 능력 향상 노력은?,p617effort
개인,Q617-3,공감 저해 요인은?,p617barrier
개인,Q617-4,정부 공감 증진 정책 인식은?,p617govpolicy
개인,Q617-5,향후 정책 기대는?,p617govhope
개인,Q618-1,디지털 기술이 자아 성찰에 미친 영향은?,p618reflection
개인,Q618-2,성찰 방법은?,p618method
개인,Q618-3,성찰 방해 요인은?,p618barrier
개인,Q618-4,정부 성찰 지원 정책 인식은?,p618govpolicy
개인,Q618-5,향후 정책 기대는?,p618govhope
