구분,문항 번호,질문 내용,변수명
개인,Q1066-1,디지털 직무의 조직 내 신뢰도 인식은?,p1066trust
개인,Q1066-2,신뢰 형성 요인은?,p1066factor
개인,Q1066-3,신뢰 저해 요인은?,p1066barrier
개인,Q1066-4,정부 조직 신뢰 정책 인식은?,p1066govpolicy
개인,Q1066-5,향후 정책 기대는?,p1066govhope
개인,Q1067-1,디지털 직무의 윤리 기준 인식은?,p1067ethics
개인,Q1067-2,윤리적 갈등 경험은?,p1067conflict
개인,Q1067-3,윤리 문제 해결 전략은?,p1067strategy
개인,Q1067-4,정부 윤리 정책 인식은?,p1067govpolicy
개인,Q1067-5,향후 정책 기대는?,p1067govhope
개인,Q1068-1,디지털 직무의 기술 변화 대응 능력은?,p1068techadapt
개인,Q1068-2,기술 변화 인식은?,p1068awareness
개인,Q1068-3,기술 적응 어려움은?,p1068difficulty
개인,Q1068-4,정부 기술 대응 정책 인식은?,p1068govpolicy
개인,Q1068-5,향후 정책 기대는?,p1068govhope
개인,Q1069-1,디지털 직무의 사회적 책임 인식은?,p1069socialresp
개인,Q1069-2,사회적 책임 실천 경험은?,p1069experience
개인,Q1069-3,사회적 책임 장애 요인은?,p1069barrier
개인,Q1069-4,정부 사회 책임 정책 인식은?,p1069govpolicy
개인,Q1069-5,향후 정책 기대는?,p1069govhope
