구분,문항 번호,질문 내용,변수명
개인,Q1310-1,디지털 직무의 AI 기반 자율주행 시스템 사용 경험은?,p1310autodrive
개인,Q1310-2,사용 목적은?,p1310purpose
개인,Q1310-3,사용 시 장애 요인은?,p1310barrier
개인,Q1310-4,정부 자율주행 정책 인식은?,p1310govpolicy
개인,Q1310-5,향후 정책 기대는?,p1310govhope
개인,Q1311-1,디지털 직무의 AI 기반 항공 모빌리티 시스템 사용 경험은?,p1311uam
개인,Q1311-2,사용 목적은?,p1311purpose
개인,Q1311-3,사용 시 장애 요인은?,p1311barrier
개인,Q1311-4,정부 UAM 정책 인식은?,p1311govpolicy
개인,Q1311-5,향후 정책 기대는?,p1311govhope
개인,Q1312-1,디지털 직무의 AI 기반 해양 관제 시스템 사용 경험은?,p1312marine
개인,Q1312-2,사용 목적은?,p1312purpose
개인,Q1312-3,사용 시 장애 요인은?,p1312barrier
개인,Q1312-4,정부 해양 관제 정책 인식은?,p1312govpolicy
개인,Q1312-5,향후 정책 기대는?,p1312govhope
개인,Q1313-1,디지털 직무의 AI 기반 도시 교통 관리 시스템 사용 경험은?,p1313traffic
개인,Q1313-2,사용 목적은?,p1313purpose
개인,Q1313-3,사용 시 장애 요인은?,p1313barrier
개인,Q1313-4,정부 교통 관리 정책 인식은?,p1313govpolicy
개인,Q1313-5,향후 정책 기대는?,p1313govhope
