구분,문항 번호,질문 내용,변수명
개인,Q76-1,범죄에 대한 불안감 수준은?,p76crimefear
개인,Q76-2,범죄 피해 경험 여부는?,p76crimeexp
개인,Q76-3,치안 만족도는?,p76safety
개인,Q76-4,범죄 예방 활동 참여 여부는?,p76crimeprevention
개인,Q76-5,범죄 관련 정책 인식은?,p76crimepolicy
개인,Q77-1,안전한 생활 환경에 대한 인식은?,p77safeenv
개인,Q77-2,위험 요소 인식 여부는?,p77riskaware
개인,Q77-3,생활 안전 교육 경험은?,p77safeedu
개인,Q77-4,위험 상황 대처 능력은?,p77response
개인,Q77-5,정부 안전 정책 만족도는?,p77safepolicy
개인,Q78-1,최근 1년간 이웃과 교류 여부는?,p78neighborcomm
개인,Q78-2,교류 빈도는?,p78neighborfreq
개인,Q78-3,교류 방식은?,p78neighbormethod
개인,Q78-4,이웃 신뢰 수준은?,p78neighbortrust
개인,Q78-5,이웃 간 갈등 경험 여부는?,p78neighborconflict
개인,Q79-1,사회적 신뢰 인식 수준은?,p79trustlevel
개인,Q79-2,사회 신뢰 대상은?,p79trusttarget
개인,Q79-3,신뢰 형성 주요 요소는?,p79trustfactor
개인,Q79-4,신뢰 회복 방안은?,p79trustrecover
개인,Q79-5,신뢰 회복 노력 경험은?,p79trusteffort
개인,Q80-1,지역 사회 활동 참여 여부는?,p80communityjoin
개인,Q80-2,참여 동기는?,p80communitywhy
개인,Q80-3,활동 만족도는?,p80communitysat
개인,Q80-4,지역 사회 애착 수준은?,p80communityfeel
개인,Q80-5,향후 참여 계획은?,p80communityplan
