구분,문항 번호,질문 내용,변수명
개인,Q1098-1,디지털 직무의 정책 참여 경험은?,p1098participation
개인,Q1098-2,참여 어려움은?,p1098barrier
개인,Q1098-3,참여 활성화 방안은?,p1098solution
개인,Q1098-4,정부 정책 참여 인식은?,p1098govpolicy
개인,Q1098-5,향후 정책 기대는?,p1098govhope
개인,Q1099-1,디지털 직무의 사회 기여도 인식은?,p1099contribution
개인,Q1099-2,사회 기여 저해 요인은?,p1099barrier
개인,Q1099-3,사회 기여 제고 방안은?,p1099solution
개인,Q1099-4,정부 기여 정책 인식은?,p1099govpolicy
개인,Q1099-5,향후 정책 기대는?,p1099govhope
개인,Q1100-1,디지털 직무의 환경 영향 인식은?,p1100environment
개인,Q1100-2,환경 부담 요인은?,p1100burden
개인,Q1100-3,환경 보호 실천은?,p1100action
개인,Q1100-4,정부 환경 정책 인식은?,p1100govpolicy
개인,Q1100-5,향후 정책 기대는?,p1100govhope
개인,Q1101-1,디지털 직무의 거버넌스 참여 경험은?,p1101govern
개인,Q1101-2,거버넌스 참여 장애 요인은?,p1101barrier
개인,Q1101-3,참여 활성화 방안은?,p1101solution
개인,Q1101-4,정부 거버넌스 정책 인식은?,p1101govpolicy
개인,Q1101-5,향후 정책 기대는?,p1101govhope
