구분,문항 번호,질문 내용,변수명
개인,Q219-1,디지털 인프라 체감 수준은?,p219infrafeel
개인,Q219-2,체감 불편 요인은?,p219infraprob
개인,Q219-3,정부 정책 인식은?,p219infragov
개인,Q219-4,개선 희망 사항은?,p219infrawish
개인,Q219-5,향후 기대는?,p219infrafuture
개인,Q220-1,디지털 기술 수용 수준은?,p220techaccept
개인,Q220-2,수용 장애 요인은?,p220techbarrier
개인,Q220-3,극복 방법은?,p220techsolution
개인,Q220-4,정부 역할 인식은?,p220techgov
개인,Q220-5,향후 수용 의향은?,p220techwill
개인,Q221-1,디지털 기기 활용 수준은?,p221deviceuse
개인,Q221-2,활용 장애 요인은?,p221devicebarrier
개인,Q221-3,극복 경험은?,p221devicesolve
개인,Q221-4,정부 지원 체감도는?,p221devicegov
개인,Q221-5,향후 활용 계획은?,p221deviceplan
개인,Q222-1,디지털 생활 변화 체감도는?,p222lifechange
개인,Q222-2,긍정적 변화 경험은?,p222lifeplus
개인,Q222-3,부정적 변화 경험은?,p222lifeminus
개인,Q222-4,정부 정책 만족도는?,p222lifesat
개인,Q222-5,향후 기대 변화는?,p222lifefuture
개인,Q223-1,디지털 역량 자가 평가 수준은?,p223selfeval
개인,Q223-2,강점 영역은?,p223strength
개인,Q223-3,약점 영역은?,p223weakness
개인,Q223-4,역량 강화 희망 분야는?,p223hope
개인,Q223-5,자기계발 계획은?,p223plan
