구분,문항 번호,질문 내용,변수명
개인,Q539-1,디지털 기술의 미래에 대한 기대는?,p539expect
개인,Q539-2,기대 이유는?,p539reason
개인,Q539-3,기술 발전에 대한 우려는?,p539concern
개인,Q539-4,정부 기술 정책 인식은?,p539govpolicy
개인,Q539-5,향후 기술 정책 기대는?,p539govhope
개인,Q540-1,디지털 기술에 대한 자기 주도 학습 경험은?,p540selflearn
개인,Q540-2,학습 주제는?,p540topic
개인,Q540-3,학습의 어려움은?,p540difficulty
개인,Q540-4,정부 자기주도 학습 지원 정책 인식은?,p540govpolicy
개인,Q540-5,향후 정책 기대는?,p540govhope
개인,Q541-1,디지털 시대의 시민의식 인식은?,p541civic
개인,Q541-2,시민의식 실천 경험은?,p541practice
개인,Q541-3,실천의 어려움은?,p541difficulty
개인,Q541-4,정부 시민교육 정책 인식은?,p541govpolicy
개인,Q541-5,향후 시민 정책 기대는?,p541govhope
개인,Q542-1,디지털 사회에서의 자아 정체감 변화 인식은?,p542identity
개인,Q542-2,정체감 형성의 어려움은?,p542difficulty
개인,Q542-3,자아 형성을 위한 노력은?,p542effort
개인,Q542-4,정부 자아정체성 정책 인식은?,p542govpolicy
개인,Q542-5,향후 정책 기대는?,p542govhope
개인,Q543-1,디지털 기술에 대한 윤리적 고민 경험은?,p543ethic
개인,Q543-2,윤리 문제 사례는?,p543case
개인,Q543-3,윤리적 판단 기준은?,p543criteria
개인,Q543-4,정부 윤리 교육 정책 인식은?,p543govpolicy
개인,Q543-5,향후 윤리 정책 기대는?,p543govhope
