구분,문항 번호,질문 내용,변수명
개인,Q726-1,디지털 직무의 자기계발 노력은?,p726selfdev
개인,Q726-2,자기계발 방법은?,p726method
개인,Q726-3,자기계발의 장애 요인은?,p726barrier
개인,Q726-4,정부 자기계발 정책 인식은?,p726govpolicy
개인,Q726-5,향후 정책 기대는?,p726govhope
개인,Q727-1,디지털 직무의 자율성 수준은?,p727autonomy
개인,Q727-2,자율성 부여 요인은?,p727factor
개인,Q727-3,자율성 제한 요인은?,p727barrier
개인,Q727-4,정부 자율성 정책 인식은?,p727govpolicy
개인,Q727-5,향후 정책 기대는?,p727govhope
개인,Q728-1,디지털 직무의 고용 안정성 인식은?,p728security
개인,Q728-2,안정성 요인은?,p728factor
개인,Q728-3,불안정 요인은?,p728barrier
개인,Q728-4,정부 고용 정책 인식은?,p728govpolicy
개인,Q728-5,향후 정책 기대는?,p728govhope
개인,Q729-1,디지털 직무의 소통 환경 인식은?,p729communication
개인,Q729-2,소통 방식은?,p729method
개인,Q729-3,소통 장애 요인은?,p729barrier
개인,Q729-4,정부 소통 정책 인식은?,p729govpolicy
개인,Q729-5,향후 정책 기대는?,p729govhope
