구분,문항 번호,질문 내용,변수명
개인,Q738-1,디지털 직무의 일과 삶의 균형 인식은?,p738balance
개인,Q738-2,균형 유지 요인은?,p738factor
개인,Q738-3,균형 저해 요인은?,p738barrier
개인,Q738-4,정부 일과 삶 정책 인식은?,p738govpolicy
개인,Q738-5,향후 정책 기대는?,p738govhope
개인,Q739-1,디지털 직무의 근로시간 만족도는?,p739hours
개인,Q739-2,근로시간 만족 요인은?,p739factor
개인,Q739-3,근로시간 불만족 요인은?,p739barrier
개인,Q739-4,정부 근로시간 정책 인식은?,p739govpolicy
개인,Q739-5,향후 정책 기대는?,p739govhope
개인,Q740-1,디지털 직무의 직업 정체성 인식은?,p740identity
개인,Q740-2,정체성 형성 요인은?,p740factor
개인,Q740-3,정체성 혼란 요인은?,p740barrier
개인,Q740-4,정부 직업 정체성 정책 인식은?,p740govpolicy
개인,Q740-5,향후 정책 기대는?,p740govhope
개인,Q741-1,디지털 직무의 직업 가치관 변화 인식은?,p741value
개인,Q741-2,가치관 변화 요인은?,p741factor
개인,Q741-3,가치관 갈등 요인은?,p741barrier
개인,Q741-4,정부 가치관 정책 인식은?,p741govpolicy
개인,Q741-5,향후 정책 기대는?,p741govhope
