구분,문항 번호,질문 내용,변수명
개인,Q986-1,디지털 직무의 정책 참여 의향은?,p986policyinvolve
개인,Q986-2,정책 참여 방식은?,p986method
개인,Q986-3,참여 저해 요인은?,p986barrier
개인,Q986-4,정부 정책 참여 기회 제공 여부는?,p986govsupport
개인,Q986-5,향후 참여 정책 기대는?,p986govhope
개인,Q987-1,디지털 직무의 국제 협력 경험은?,p987intlcoop
개인,Q987-2,협력 방식은?,p987method
개인,Q987-3,협력 성과는?,p987result
개인,Q987-4,정부 국제 협력 정책 인식은?,p987govpolicy
개인,Q987-5,향후 정책 기대는?,p987govhope
개인,Q988-1,디지털 직무의 플랫폼 활용 경험은?,p988platform
개인,Q988-2,주요 플랫폼은?,p988main
개인,Q988-3,플랫폼 활용상의 문제점은?,p988problem
개인,Q988-4,정부 플랫폼 정책 인식은?,p988govpolicy
개인,Q988-5,향후 정책 기대는?,p988govhope
개인,Q989-1,디지털 직무의 기술 도입 인식은?,p989techadopt
개인,Q989-2,도입된 기술은?,p989tools
개인,Q989-3,기술 도입 장애 요인은?,p989barrier
개인,Q989-4,정부 기술 도입 지원 정책 인식은?,p989govpolicy
개인,Q989-5,향후 정책 기대는?,p989govhope
