구분,문항 번호,질문 내용,변수명
개인,Q1242-1,디지털 직무의 디지털 기초역량 자기평가는?,p1242basic
개인,Q1242-2,기초역량 향상을 위한 노력은?,p1242effort
개인,Q1242-3,역량 향상 장애 요인은?,p1242barrier
개인,Q1242-4,정부 기초역량 정책 인식은?,p1242govpolicy
개인,Q1242-5,향후 정책 기대는?,p1242govhope
개인,Q1243-1,디지털 직무의 창의역량 자기평가는?,p1243creativity
개인,Q1243-2,창의역량 향상을 위한 노력은?,p1243effort
개인,Q1243-3,역량 향상 장애 요인은?,p1243barrier
개인,Q1243-4,정부 창의역량 정책 인식은?,p1243govpolicy
개인,Q1243-5,향후 정책 기대는?,p1243govhope
개인,Q1244-1,디지털 직무의 문제해결역량 자기평가는?,p1244problem
개인,Q1244-2,문제해결역량 향상을 위한 노력은?,p1244effort
개인,Q1244-3,역량 향상 장애 요인은?,p1244barrier
개인,Q1244-4,정부 문제해결역량 정책 인식은?,p1244govpolicy
개인,Q1244-5,향후 정책 기대는?,p1244govhope
개인,Q1245-1,디지털 직무의 의사소통역량 자기평가는?,p1245comm
개인,Q1245-2,의사소통역량 향상을 위한 노력은?,p1245effort
개인,Q1245-3,역량 향상 장애 요인은?,p1245barrier
개인,Q1245-4,정부 의사소통역량 정책 인식은?,p1245govpolicy
개인,Q1245-5,향후 정책 기대는?,p1245govhope
