구분,문항 번호,질문 내용,변수명
개인,Q1410-1,디지털 직무의 AI 기반 질병 유행 트렌드 분석 시스템 사용 경험은?,p1410trend
개인,Q1410-2,사용 목적은?,p1410purpose
개인,Q1410-3,사용 시 장애 요인은?,p1410barrier
개인,Q1410-4,정부 유행 트렌드 분석 정책 인식은?,p1410govpolicy
개인,Q1410-5,향후 정책 기대는?,p1410govhope
개인,Q1411-1,디지털 직무의 AI 기반 해외 감염병 정보 수집 시스템 사용 경험은?,p1411foreign
개인,Q1411-2,사용 목적은?,p1411purpose
개인,Q1411-3,사용 시 장애 요인은?,p1411barrier
개인,Q1411-4,정부 해외 감염병 정책 인식은?,p1411govpolicy
개인,Q1411-5,향후 정책 기대는?,p1411govhope
개인,Q1412-1,디지털 직무의 AI 기반 보건 위기 대응 분석 시스템 사용 경험은?,p1412crisis
개인,Q1412-2,사용 목적은?,p1412purpose
개인,Q1412-3,사용 시 장애 요인은?,p1412barrier
개인,Q1412-4,정부 보건 위기 정책 인식은?,p1412govpolicy
개인,Q1412-5,향후 정책 기대는?,p1412govhope
개인,Q1413-1,디지털 직무의 AI 기반 건강 검진 결과 분석 시스템 사용 경험은?,p1413exam
개인,Q1413-2,사용 목적은?,p1413purpose
개인,Q1413-3,사용 시 장애 요인은?,p1413barrier
개인,Q1413-4,정부 건강검진 정책 인식은?,p1413govpolicy
개인,Q1413-5,향후 정책 기대는?,p1413govhope
