구분,문항 번호,질문 내용,변수명
개인,Q1286-1,디지털 직무의 AI 윤리 교육 이수 여부는?,p1286ethicstraining
개인,Q1286-2,교육 이수 후 인식 변화는?,p1286change
개인,Q1286-3,AI 윤리 교육의 필요성 인식은?,p1286importance
개인,Q1286-4,정부 AI 윤리 교육 정책 인식은?,p1286govpolicy
개인,Q1286-5,향후 정책 기대는?,p1286govhope
개인,Q1287-1,디지털 직무의 AI 편향 사례 인지 경험은?,p1287bias
개인,Q1287-2,편향 사례에 대한 대응 방법은?,p1287response
개인,Q1287-3,AI 편향 최소화 방안에 대한 인식은?,p1287solution
개인,Q1287-4,정부 AI 편향 관련 정책 인식은?,p1287govpolicy
개인,Q1287-5,향후 정책 기대는?,p1287govhope
개인,Q1288-1,디지털 직무의 데이터 윤리 인식은?,p1288dataethics
개인,Q1288-2,데이터 윤리 관련 교육 이수 여부는?,p1288edu
개인,Q1288-3,데이터 오용 경험 여부는?,p1288misuse
개인,Q1288-4,정부 데이터 윤리 정책 인식은?,p1288govpolicy
개인,Q1288-5,향후 정책 기대는?,p1288govhope
개인,Q1289-1,디지털 직무의 AI 설명 가능성에 대한 인식은?,p1289xai
개인,Q1289-2,설명 가능성 요구 경험은?,p1289need
개인,Q1289-3,정부의 AI 설명 정책 인식은?,p1289govpolicy
개인,Q1289-4,향후 정책 기대는?,p1289govhope
개인,Q1289-5,AI 설명 관련 개인적 의견은?,p1289opinion
