구분,문항 번호,질문 내용,변수명
개인,Q464-1,디지털 사회에서의 공공의식 인식은?,p464public
개인,Q464-2,공공의식 실천 경험은?,p464practice
개인,Q464-3,공공의식 저해 요인은?,p464barrier
개인,Q464-4,정부 공공의식 정책 인식은?,p464govpolicy
개인,Q464-5,향후 공공의식 정책 기대는?,p464govhope
개인,Q465-1,디지털 기술이 시민 생활에 미친 긍정적 변화는?,p465positive
개인,Q465-2,변화에 대한 만족도는?,p465satisfaction
개인,Q465-3,변화가 불편했던 경험은?,p465issue
개인,Q465-4,정부 변화 대응 정책 인식은?,p465govpolicy
개인,Q465-5,향후 변화 정책 기대는?,p465govhope
개인,Q466-1,디지털 격차 해소 정책 체감도는?,p466govfeel
개인,Q466-2,정책 효과 체감 경험은?,p466experience
개인,Q466-3,정책 미흡 사례는?,p466gap
개인,Q466-4,정책 개선 필요성 인식은?,p466need
개인,Q466-5,향후 정책 개선 기대는?,p466govhope
개인,Q467-1,디지털 기술을 활용한 사회문제 해결 경험은?,p467solution
개인,Q467-2,해결에 효과적인 기술은?,p467effectivetech
개인,Q467-3,해결 과정의 어려움은?,p467difficulty
개인,Q467-4,정부 기술 활용 지원 정책 인식은?,p467govpolicy
개인,Q467-5,향후 지원 정책 기대는?,p467govhope
개인,Q468-1,디지털 기술의 일상생활 영향 인식은?,p468daily
개인,Q468-2,일상에서 느낀 변화는?,p468change
개인,Q468-3,변화 적응을 위한 노력은?,p468effort
개인,Q468-4,정부 일상생활 지원 정책 인식은?,p468govpolicy
개인,Q468-5,향후 지원 정책 기대는?,p468govhope
