구분,문항 번호,질문 내용,변수명
개인,Q1014-1,디지털 직무의 조직 정체성 인식은?,p1014identity
개인,Q1014-2,정체성 강화 요인은?,p1014factor
개인,Q1014-3,정체성 약화 요인은?,p1014barrier
개인,Q1014-4,정부 조직 정체성 정책 인식은?,p1014govpolicy
개인,Q1014-5,향후 정책 기대는?,p1014govhope
개인,Q1015-1,디지털 직무의 리더와의 소통 만족도는?,p1015comm
개인,Q1015-2,효과적인 소통 방식은?,p1015method
개인,Q1015-3,소통 장애 요인은?,p1015barrier
개인,Q1015-4,정부 소통 개선 정책 인식은?,p1015govpolicy
개인,Q1015-5,향후 정책 기대는?,p1015govhope
개인,Q1016-1,디지털 직무의 직무 배치 적합성 인식은?,p1016fit
개인,Q1016-2,배치 만족 요인은?,p1016satisfy
개인,Q1016-3,배치 부적합 사례는?,p1016mismatch
개인,Q1016-4,정부 배치 정책 인식은?,p1016govpolicy
개인,Q1016-5,향후 정책 기대는?,p1016govhope
개인,Q1017-1,디지털 직무의 이직 의향은?,p1017turnover
개인,Q1017-2,이직 고려 이유는?,p1017reason
개인,Q1017-3,이직 방지 요인은?,p1017retention
개인,Q1017-4,정부 이직 대응 정책 인식은?,p1017govpolicy
개인,Q1017-5,향후 정책 기대는?,p1017govhope
