구분,문항 번호,질문 내용,변수명
개인,Q81-1,정기적인 기부 경험 여부는?,p81donateexp
개인,Q81-2,기부 금액 수준은?,p81donateamt
개인,Q81-3,기부처는 어디입니까?,p81donatetarget
개인,Q81-4,기부 동기는 무엇입니까?,p81donatewhy
개인,Q81-5,기부 시 애로사항은?,p81donatediff
개인,Q82-1,사회적 기업 인식 수준은?,p82socialcoaware
개인,Q82-2,사회적 기업 상품 구매 경험은?,p82socialcoprod
개인,Q82-3,구매 동기는?,p82socialcobuywhy
개인,Q82-4,상품 만족도는?,p82socialcosat
개인,Q82-5,향후 이용 계획은?,p82socialcoplan
개인,Q83-1,문화예술 향유 빈도는?,p83culturefreq
개인,Q83-2,주로 향유하는 콘텐츠는?,p83culturetype
개인,Q83-3,문화 활동 참여 동기는?,p83culturewhy
개인,Q83-4,문화 향유 시 불편 사항은?,p83culturediff
개인,Q83-5,문화 정책 만족도는?,p83culturesat
개인,Q84-1,스마트폰 사용 시간은?,p84phonetime
개인,Q84-2,주 사용 용도는?,p84phoneuse
개인,Q84-3,사용 시 불편 사항은?,p84phonediff
개인,Q84-4,스마트폰 의존도는?,p84phoneaddict
개인,Q84-5,디지털 디톡스 시도 여부는?,p84phonedetox
개인,Q85-1,교통수단 이용 빈도는?,p85trafreq
개인,Q85-2,주 이용 교통수단은?,p85tratype
개인,Q85-3,이용 시 불편 사항은?,p85tradiff
개인,Q85-4,교통정책 인식 수준은?,p85trapolicy
개인,Q85-5,교통정책 만족도는?,p85trasat
개인,Q86-1,에너지 절약 실천 여부는?,p86energysave
개인,Q86-2,절약 방법은?,p86energymethod
개인,Q86-3,절약 동기는?,p86energywhy
개인,Q86-4,정책 인식 수준은?,p86energypolicy
개인,Q86-5,정책 만족도는?,p86energysat
