구분,문항 번호,질문 내용,변수명
개인,Q114-1,환경 캠페인 참여 경험은?,p114envcampaign
개인,Q114-2,참여 계기는?,p114envwhy
개인,Q114-3,참여 활동 내용은?,p114envact
개인,Q114-4,활동 만족도는?,p114envsat
개인,Q114-5,향후 참여 의향은?,p114envplan
개인,Q115-1,문화예술 교육 수강 여부는?,p115artedu
개인,Q115-2,수강한 콘텐츠 종류는?,p115arttype
개인,Q115-3,수강 만족도는?,p115artsat
개인,Q115-4,수강 경로는?,p115artpath
개인,Q115-5,향후 수강 의향은?,p115artwill
개인,Q116-1,생활체육 활동 참여 여부는?,p116sportsjoin
개인,Q116-2,참여 빈도는?,p116sportsfreq
개인,Q116-3,활동 종류는?,p116sportstype
개인,Q116-4,참여 만족도는?,p116sportssat
개인,Q116-5,향후 참여 의향은?,p116sportswill
개인,Q117-1,보건소 이용 경험은?,p117healthcenter
개인,Q117-2,이용 목적은?,p117healthwhy
개인,Q117-3,이용 만족도는?,p117healthsat
개인,Q117-4,이용 불편 사항은?,p117healthdiff
개인,Q117-5,재이용 의향은?,p117healthwill
개인,Q118-1,에너지 절약 캠페인 참여 경험은?,p118energyjoin
개인,Q118-2,참여 동기는?,p118energywhy
개인,Q118-3,참여 활동 내용은?,p118energyact
개인,Q118-4,활동 만족도는?,p118energysat
개인,Q118-5,향후 참여 의향은?,p118energyplan
