구분,문항 번호,질문 내용,변수명
개인,Q1398-1,디지털 직무의 AI 기반 백신 배분 시스템 사용 경험은?,p1398vaccine
개인,Q1398-2,사용 목적은?,p1398purpose
개인,Q1398-3,사용 시 장애 요인은?,p1398barrier
개인,Q1398-4,정부 백신 배분 정책 인식은?,p1398govpolicy
개인,Q1398-5,향후 정책 기대는?,p1398govhope
개인,Q1399-1,디지털 직무의 AI 기반 공공보건 감시 시스템 사용 경험은?,p1399public
개인,Q1399-2,사용 목적은?,p1399purpose
개인,Q1399-3,사용 시 장애 요인은?,p1399barrier
개인,Q1399-4,정부 공공보건 정책 인식은?,p1399govpolicy
개인,Q1399-5,향후 정책 기대는?,p1399govhope
개인,Q1400-1,디지털 직무의 AI 기반 응급실 수요 예측 시스템 사용 경험은?,p1400er
개인,Q1400-2,사용 목적은?,p1400purpose
개인,Q1400-3,사용 시 장애 요인은?,p1400barrier
개인,Q1400-4,정부 응급실 정책 인식은?,p1400govpolicy
개인,Q1400-5,향후 정책 기대는?,p1400govhope
개인,Q1401-1,디지털 직무의 AI 기반 질병 발생 지도 시스템 사용 경험은?,p1401map
개인,Q1401-2,사용 목적은?,p1401purpose
개인,Q1401-3,사용 시 장애 요인은?,p1401barrier
개인,Q1401-4,정부 질병 지도 정책 인식은?,p1401govpolicy
개인,Q1401-5,향후 정책 기대는?,p1401govhope
