구분,문항 번호,질문 내용,변수명
개인,Q1298-1,디지털 직무의 AI 기반 분석 도구 활용 경험은?,p1298analytics
개인,Q1298-2,활용 목적은?,p1298purpose
개인,Q1298-3,활용 시 장애 요인은?,p1298barrier
개인,Q1298-4,정부 분석 도구 정책 인식은?,p1298govpolicy
개인,Q1298-5,향후 정책 기대는?,p1298govhope
개인,Q1299-1,디지털 직무의 AI 기반 생산 계획 시스템 사용 경험은?,p1299production
개인,Q1299-2,사용 목적은?,p1299purpose
개인,Q1299-3,사용 시 장애 요인은?,p1299barrier
개인,Q1299-4,정부 생산 계획 시스템 정책 인식은?,p1299govpolicy
개인,Q1299-5,향후 정책 기대는?,p1299govhope
개인,Q1300-1,디지털 직무의 AI 기반 물류 시스템 사용 경험은?,p1300logistics
개인,Q1300-2,사용 목적은?,p1300purpose
개인,Q1300-3,사용 시 장애 요인은?,p1300barrier
개인,Q1300-4,정부 물류 시스템 정책 인식은?,p1300govpolicy
개인,Q1300-5,향후 정책 기대는?,p1300govhope
개인,Q1301-1,디지털 직무의 AI 기반 마케팅 시스템 사용 경험은?,p1301marketing
개인,Q1301-2,사용 목적은?,p1301purpose
개인,Q1301-3,사용 시 장애 요인은?,p1301barrier
개인,Q1301-4,정부 마케팅 시스템 정책 인식은?,p1301govpolicy
개인,Q1301-5,향후 정책 기대는?,p1301govhope
