구분,문항 번호,질문 내용,변수명
개인,Q174-1,디지털 격차 인식 수준은?,p174digigapaware
개인,Q174-2,체감하는 격차 원인은?,p174digigapwhy
개인,Q174-3,격차 해소 노력 여부는?,p174digigaptry
개인,Q174-4,지원 필요 분야는?,p174digigapsupport
개인,Q174-5,정책 만족도는?,p174digigapsat
개인,Q175-1,디지털 윤리 인식 수준은?,p175ethicsaware
개인,Q175-2,윤리 문제 경험 여부는?,p175ethicsexp
개인,Q175-3,주요 이슈는?,p175ethicsissue
개인,Q175-4,대응 방식은?,p175ethicsreact
개인,Q175-5,향후 교육 필요성 인식은?,p175ethicsedu
개인,Q176-1,디지털 교육 경험은?,p176eduexp
개인,Q176-2,교육 내용은?,p176educontent
개인,Q176-3,만족도는?,p176edusat
개인,Q176-4,행동 변화 여부는?,p176educhange
개인,Q176-5,재교육 희망 여부는?,p176eduwill
개인,Q177-1,정보 격차 체감 수준은?,p177infogapfeel
개인,Q177-2,정보 접근 경로는?,p177infoaccess
개인,Q177-3,정보 활용 수준은?,p177infouse
개인,Q177-4,정보 해석 능력은?,p177infointerpret
개인,Q177-5,지원 정책 인식은?,p177infopolicy
개인,Q178-1,미디어 활용 능력 수준은?,p178medialvl
개인,Q178-2,주 이용 매체는?,p178mediachannel
개인,Q178-3,활용 목적은?,p178mediapurpose
개인,Q178-4,정보 신뢰 수준은?,p178mediatrust
개인,Q178-5,미디어 교육 경험은?,p178mediaedu
