구분,문항 번호,질문 내용,변수명
개인,Q930-1,디지털 직무의 데이터 분석 역량은?,p930analysis
개인,Q930-2,데이터 분석 활용 분야는?,p930field
개인,Q930-3,분석 역량 부족 시 어려움은?,p930barrier
개인,Q930-4,정부 데이터 분석 역량 강화 정책 인식은?,p930govpolicy
개인,Q930-5,향후 정책 기대는?,p930govhope
개인,Q931-1,디지털 직무의 시간 관리 역량은?,p931timemgmt
개인,Q931-2,효율적인 시간 관리 방법은?,p931method
개인,Q931-3,시간 관리 실패 사례는?,p931fail
개인,Q931-4,정부 시간 관리 지원 정책 인식은?,p931govpolicy
개인,Q931-5,향후 정책 기대는?,p931govhope
개인,Q932-1,디지털 직무의 윤리 의식 수준은?,p932ethics
개인,Q932-2,윤리적 갈등 사례는?,p932case
개인,Q932-3,윤리 의식 형성 요인은?,p932factor
개인,Q932-4,정부 직무 윤리 교육 정책 인식은?,p932govpolicy
개인,Q932-5,향후 정책 기대는?,p932govhope
개인,Q933-1,디지털 직무의 자율성 체감도는?,p933autonomy
개인,Q933-2,자율성 부여 방식은?,p933method
개인,Q933-3,자율성 제약 요인은?,p933barrier
개인,Q933-4,정부 직무 자율성 정책 인식은?,p933govpolicy
개인,Q933-5,향후 정책 기대는?,p933govhope
