구분,문항 번호,질문 내용,변수명
개인,Q469-1,디지털 교육 콘텐츠 이용 경험은?,p469use
개인,Q469-2,콘텐츠 만족도는?,p469satisfaction
개인,Q469-3,이용 중 불편사항은?,p469issue
개인,Q469-4,정부 디지털 교육 지원 인식은?,p469govpolicy
개인,Q469-5,향후 교육 콘텐츠 정책 기대는?,p469govhope
개인,Q470-1,디지털 기술 관련 민원 제기 경험은?,p470complaint
개인,Q470-2,민원 처리 만족도는?,p470satisfaction
개인,Q470-3,민원 처리 과정의 문제점은?,p470issue
개인,Q470-4,정부 민원 대응 체감도는?,p470govfeel
개인,Q470-5,향후 민원 처리 개선 기대는?,p470govhope
개인,Q471-1,디지털 기술 발전에 따른 소비생활 변화 인식은?,p471change
개인,Q471-2,소비생활 편리성 증가는?,p471convenience
개인,Q471-3,소비 패턴 변화 경험은?,p471pattern
개인,Q471-4,정부 소비자 보호 정책 인식은?,p471govpolicy
개인,Q471-5,향후 소비자 보호 정책 기대는?,p471govhope
개인,Q472-1,디지털 기술과 정신건강 연관 인식은?,p472mental
개인,Q472-2,정신건강에 미치는 영향 경험은?,p472experience
개인,Q472-3,정신건강 유지 노력은?,p472effort
개인,Q472-4,정부 정신건강 정책 인식은?,p472govpolicy
개인,Q472-5,향후 정신건강 지원 기대는?,p472govhope
개인,Q473-1,디지털 관련 범죄 피해 경험은?,p473crime
개인,Q473-2,피해 대응 경험은?,p473response
개인,Q473-3,정부 대응 정책 인식은?,p473govpolicy
개인,Q473-4,정부 대응 체감도는?,p473govfeel
개인,Q473-5,향후 범죄 예방 정책 기대는?,p473govhope
