구분,문항 번호,질문 내용,변수명
개인,Q619-1,디지털 사회에서의 불안감 인식은?,p619anxiety
개인,Q619-2,불안감 원인은?,p619cause
개인,Q619-3,불안 완화 노력은?,p619effort
개인,Q619-4,정부 불안 완화 정책 인식은?,p619govpolicy
개인,Q619-5,향후 정책 기대는?,p619govhope
개인,Q620-1,디지털 사회에서의 스트레스 수준은?,p620stress
개인,Q620-2,스트레스 원인은?,p620cause
개인,Q620-3,스트레스 해소 방법은?,p620relief
개인,Q620-4,정부 스트레스 관리 정책 인식은?,p620govpolicy
개인,Q620-5,향후 정책 기대는?,p620govhope
개인,Q621-1,디지털 기술에 대한 기대 수준은?,p621expect
개인,Q621-2,기대하는 기술 영역은?,p621area
개인,Q621-3,기대 실현의 장애 요인은?,p621barrier
개인,Q621-4,정부 기대 기술 정책 인식은?,p621govpolicy
개인,Q621-5,향후 정책 기대는?,p621govhope
개인,Q622-1,디지털 사회에서의 안전에 대한 인식은?,p622safety
개인,Q622-2,안전 위협 경험은?,p622threat
개인,Q622-3,안전 확보 노력은?,p622effort
개인,Q622-4,정부 안전 정책 인식은?,p622govpolicy
개인,Q622-5,향후 정책 기대는?,p622govhope
개인,Q623-1,디지털 사회에서의 소외감 체감은?,p623isolation
개인,Q623-2,소외감 원인은?,p623cause
개인,Q623-3,소외 극복 노력은?,p623effort
개인,Q623-4,정부 소외 해소 정책 인식은?,p623govpolicy
개인,Q623-5,향후 정책 기대는?,p623govhope
