구분,문항 번호,질문 내용,변수명
개인,Q1134-1,디지털 직무의 보상 만족도는?,p1134comp
개인,Q1134-2,보상 불만족 요인은?,p1134barrier
개인,Q1134-3,보상 제도 개선 방안은?,p1134solution
개인,Q1134-4,정부 보상 정책 인식은?,p1134govpolicy
개인,Q1134-5,향후 정책 기대는?,p1134govhope
개인,Q1135-1,디지털 직무의 복지 제도 인식은?,p1135welfare
개인,Q1135-2,복지 제도 불만족 요인은?,p1135barrier
개인,Q1135-3,복지 제도 개선 방안은?,p1135solution
개인,Q1135-4,정부 복지 정책 인식은?,p1135govpolicy
개인,Q1135-5,향후 정책 기대는?,p1135govhope
개인,Q1136-1,디지털 직무의 경력 개발 지원 인식은?,p1136career
개인,Q1136-2,경력 개발 장애 요인은?,p1136barrier
개인,Q1136-3,경력 개발 지원 방안은?,p1136solution
개인,Q1136-4,정부 경력 정책 인식은?,p1136govpolicy
개인,Q1136-5,향후 정책 기대는?,p1136govhope
개인,Q1137-1,디지털 직무의 노동 조건 전반 만족도는?,p1137labor
개인,Q1137-2,노동 조건 불만족 요인은?,p1137barrier
개인,Q1137-3,노동 조건 개선 방안은?,p1137solution
개인,Q1137-4,정부 노동 정책 인식은?,p1137govpolicy
개인,Q1137-5,향후 정책 기대는?,p1137govhope
