구분,문항 번호,질문 내용,변수명
개인,Q974-1,디지털 직무의 조직 문화 만족도는?,p974culture
개인,Q974-2,조직 문화 개선 필요성은?,p974need
개인,Q974-3,조직 문화 저해 요인은?,p974barrier
개인,Q974-4,정부 조직 문화 정책 인식은?,p974govpolicy
개인,Q974-5,향후 정책 기대는?,p974govhope
개인,Q975-1,디지털 직무의 직장 내 소속감 수준은?,p975belonging
개인,Q975-2,소속감을 형성하는 요인은?,p975factor
개인,Q975-3,소속감 부족 시 영향은?,p975impact
개인,Q975-4,정부 소속감 증진 정책 인식은?,p975govpolicy
개인,Q975-5,향후 정책 기대는?,p975govhope
개인,Q976-1,디지털 직무의 협업 경험은?,p976collab
개인,Q976-2,협업의 효과는?,p976effect
개인,Q976-3,협업 중 어려움은?,p976barrier
개인,Q976-4,정부 협업 지원 정책 인식은?,p976govpolicy
개인,Q976-5,향후 정책 기대는?,p976govhope
개인,Q977-1,디지털 직무의 직장 내 리더십 인식은?,p977leadership
개인,Q977-2,좋은 리더십의 조건은?,p977quality
개인,Q977-3,리더십의 문제점은?,p977problem
개인,Q977-4,정부 리더십 교육 정책 인식은?,p977govpolicy
개인,Q977-5,향후 정책 기대는?,p977govhope
