구분,문항 번호,질문 내용,변수명
개인,Q1378-1,디지털 직무의 AI 기반 재활 훈련 시스템 사용 경험은?,p1378rehab
개인,Q1378-2,사용 목적은?,p1378purpose
개인,Q1378-3,사용 시 장애 요인은?,p1378barrier
개인,Q1378-4,정부 재활 정책 인식은?,p1378govpolicy
개인,Q1378-5,향후 정책 기대는?,p1378govhope
개인,Q1379-1,디지털 직무의 AI 기반 병리 분석 시스템 사용 경험은?,p1379pathology
개인,Q1379-2,사용 목적은?,p1379purpose
개인,Q1379-3,사용 시 장애 요인은?,p1379barrier
개인,Q1379-4,정부 병리 분석 정책 인식은?,p1379govpolicy
개인,Q1379-5,향후 정책 기대는?,p1379govhope
개인,Q1380-1,디지털 직무의 AI 기반 유전자 분석 시스템 사용 경험은?,p1380genome
개인,Q1380-2,사용 목적은?,p1380purpose
개인,Q1380-3,사용 시 장애 요인은?,p1380barrier
개인,Q1380-4,정부 유전자 정책 인식은?,p1380govpolicy
개인,Q1380-5,향후 정책 기대는?,p1380govhope
개인,Q1381-1,디지털 직무의 AI 기반 로봇 수술 시스템 사용 경험은?,p1381surgery
개인,Q1381-2,사용 목적은?,p1381purpose
개인,Q1381-3,사용 시 장애 요인은?,p1381barrier
개인,Q1381-4,정부 로봇 수술 정책 인식은?,p1381govpolicy
개인,Q1381-5,향후 정책 기대는?,p1381govhope
