구분,문항 번호,질문 내용,변수명
개인,Q862-1,디지털 직무의 회의 효율성 인식은?,p862meeting
개인,Q862-2,회의 중 불필요한 시간 비중은?,p862waste
개인,Q862-3,효율적 회의를 위한 방안은?,p862solution
개인,Q862-4,정부 회의 문화 개선 정책 인식은?,p862govpolicy
개인,Q862-5,향후 정책 기대는?,p862govhope
개인,Q863-1,디지털 직무의 회의 참여도는?,p863participation
개인,Q863-2,참여를 유도하는 요인은?,p863factor
개인,Q863-3,참여 저해 요인은?,p863barrier
개인,Q863-4,정부 회의 참여 정책 인식은?,p863govpolicy
개인,Q863-5,향후 정책 기대는?,p863govhope
개인,Q864-1,디지털 직무의 커뮤니케이션 도구 사용 경험은?,p864tool
개인,Q864-2,주 사용 도구는?,p864main
개인,Q864-3,도구 선택 기준은?,p864criteria
개인,Q864-4,도구 사용의 문제점은?,p864problem
개인,Q864-5,정부 커뮤니케이션 정책 인식은?,p864govpolicy
개인,Q865-1,디지털 직무의 조직 내 역할 이해도는?,p865understand
개인,Q865-2,역할 분담의 명확성은?,p865clarity
개인,Q865-3,역할 갈등 경험은?,p865conflict
개인,Q865-4,정부 역할 분담 정책 인식은?,p865govpolicy
개인,Q865-5,향후 정책 기대는?,p865govhope
