구분,문항 번호,질문 내용,변수명
개인,Q579-1,디지털 기술이 미래세대에 미칠 영향에 대한 인식은?,p579impact
개인,Q579-2,긍정적 영향 예시는?,p579positive
개인,Q579-3,부정적 영향 우려는?,p579negative
개인,Q579-4,정부 미래세대 대응 정책 인식은?,p579govpolicy
개인,Q579-5,향후 정책 기대는?,p579govhope
개인,Q580-1,디지털 사회의 국제협력 필요성 인식은?,p580cooperation
개인,Q580-2,국제협력 분야 우선순위는?,p580priority
개인,Q580-3,국제협력의 장애 요인은?,p580barrier
개인,Q580-4,정부 국제협력 정책 인식은?,p580govpolicy
개인,Q580-5,향후 정책 기대는?,p580govhope
개인,Q581-1,디지털 전환이 삶의 질에 미친 영향은?,p581quality
개인,Q581-2,삶의 질 향상 분야는?,p581field
개인,Q581-3,향상 체감 여부는?,p581perceived
개인,Q581-4,정부 삶의 질 정책 인식은?,p581govpolicy
개인,Q581-5,향후 정책 기대는?,p581govhope
개인,Q582-1,디지털 기술이 공동체 의식에 미친 영향은?,p582community
개인,Q582-2,공동체 활동 참여 경험은?,p582participation
개인,Q582-3,참여 장벽은?,p582barrier
개인,Q582-4,정부 공동체 강화 정책 인식은?,p582govpolicy
개인,Q582-5,향후 정책 기대는?,p582govhope
개인,Q583-1,디지털 기술의 문화 다양성 보장 인식은?,p583diversity
개인,Q583-2,다양성 체감 사례는?,p583example
개인,Q583-3,다양성 침해 우려는?,p583concern
개인,Q583-4,정부 다양성 정책 인식은?,p583govpolicy
개인,Q583-5,향후 정책 기대는?,p583govhope
