구분,문항 번호,질문 내용,변수명
개인,Q52-1,최근 1년간 정신건강 관련 상담 경험은?,p52mentalexp
개인,Q52-2,상담 기관 유형은?,p52mentalinstitution
개인,Q52-3,상담 만족도는?,p52mentalsat
개인,Q52-4,정신건강 정보 획득 경로는?,p52mentalinfo
개인,Q52-5,추가 상담 희망 여부는?,p52mentalhope
개인,Q53-1,경제 불안정성 체감 수준은?,p53economyfeel
개인,Q53-2,불안감 주요 원인은?,p53economywhy
개인,Q53-3,대응 방법은 무엇입니까?,p53economyhow
개인,Q53-4,정부 대책에 대한 의견은?,p53economyopinion
개인,Q53-5,정책 신뢰 수준은?,p53economytrust
개인,Q54-1,1년 내 학습 서비스 이용 경험은?,p54learnexp
개인,Q54-2,이용한 서비스 종류는?,p54learntype
개인,Q54-3,이용 만족도는?,p54learnsat
개인,Q54-4,향후 이용 계획은?,p54learnplan
개인,Q54-5,학습 목적은 무엇입니까?,p54learnwhy
개인,Q55-1,사회복지 인식 수준은?,p55welfareaware
개인,Q55-2,복지제도 이용 경험은?,p55welfareuse
개인,Q55-3,복지서비스 접근성은?,p55welfareaccess
개인,Q55-4,복지 개선 요구 사항은?,p55welfareimprove
개인,Q55-5,복지정책에 대한 전반적 만족도는?,p55welfaresat
개인,Q56-1,청년층 정책에 대한 인식은?,p56youthaware
개인,Q56-2,정책 정보 획득 경로는?,p56youthinfo
개인,Q56-3,정책 참여 경험은?,p56youthpart
개인,Q56-4,정책 만족도는?,p56youthsat
개인,Q56-5,향후 정책 개선 희망사항은?,p56youthimprove
개인,Q57-1,다문화 수용 인식 수준은?,p57multiaware
개인,Q57-2,다문화 관련 정보 획득 경로는?,p57multiinfo
개인,Q57-3,다문화 관련 교육 경험은?,p57multiedu
개인,Q57-4,다문화 관련 정책 인지도는?,p57multipolaware
개인,Q57-5,정책 수용도는?,p57multisat
