구분,문항 번호,질문 내용,변수명
개인,Q1374-1,디지털 직무의 AI 기반 임산부 건강 관리 시스템 사용 경험은?,p1374pregnancy
개인,Q1374-2,사용 목적은?,p1374purpose
개인,Q1374-3,사용 시 장애 요인은?,p1374barrier
개인,Q1374-4,정부 임산부 건강 정책 인식은?,p1374govpolicy
개인,Q1374-5,향후 정책 기대는?,p1374govhope
개인,Q1375-1,디지털 직무의 AI 기반 신생아 모니터링 시스템 사용 경험은?,p1375neonate
개인,Q1375-2,사용 목적은?,p1375purpose
개인,Q1375-3,사용 시 장애 요인은?,p1375barrier
개인,Q1375-4,정부 신생아 정책 인식은?,p1375govpolicy
개인,Q1375-5,향후 정책 기대는?,p1375govhope
개인,Q1376-1,디지털 직무의 AI 기반 장애인 보조 기술 사용 경험은?,p1376assistive
개인,Q1376-2,사용 목적은?,p1376purpose
개인,Q1376-3,사용 시 장애 요인은?,p1376barrier
개인,Q1376-4,정부 장애인 기술 정책 인식은?,p1376govpolicy
개인,Q1376-5,향후 정책 기대는?,p1376govhope
개인,Q1377-1,디지털 직무의 AI 기반 치매 조기 진단 시스템 사용 경험은?,p1377dementia
개인,Q1377-2,사용 목적은?,p1377purpose
개인,Q1377-3,사용 시 장애 요인은?,p1377barrier
개인,Q1377-4,정부 치매 진단 정책 인식은?,p1377govpolicy
개인,Q1377-5,향후 정책 기대는?,p1377govhope
