구분,문항 번호,질문 내용,변수명
개인,Q1282-1,디지털 직무의 생체 인식 기술 활용 경험은?,p1282biometric
개인,Q1282-2,활용 목적은?,p1282purpose
개인,Q1282-3,활용 시 장애 요인은?,p1282barrier
개인,Q1282-4,정부 생체 인식 정책 인식은?,p1282govpolicy
개인,Q1282-5,향후 정책 기대는?,p1282govhope
개인,Q1283-1,디지털 직무의 사이버 물리 시스템 활용 경험은?,p1283cps
개인,Q1283-2,활용 목적은?,p1283purpose
개인,Q1283-3,활용 시 장애 요인은?,p1283barrier
개인,Q1283-4,정부 CPS 정책 인식은?,p1283govpolicy
개인,Q1283-5,향후 정책 기대는?,p1283govhope
개인,Q1284-1,디지털 직무의 에너지 관리 시스템 활용 경험은?,p1284energy
개인,Q1284-2,활용 목적은?,p1284purpose
개인,Q1284-3,활용 시 장애 요인은?,p1284barrier
개인,Q1284-4,정부 에너지 관리 정책 인식은?,p1284govpolicy
개인,Q1284-5,향후 정책 기대는?,p1284govhope
개인,Q1285-1,디지털 직무의 스마트 시티 기술 활용 경험은?,p1285smartcity
개인,Q1285-2,활용 목적은?,p1285purpose
개인,Q1285-3,활용 시 장애 요인은?,p1285barrier
개인,Q1285-4,정부 스마트 시티 정책 인식은?,p1285govpolicy
개인,Q1285-5,향후 정책 기대는?,p1285govhope
