구분,문항 번호,질문 내용,변수명
개인,Q1354-1,디지털 직무의 AI 기반 도로 감시 시스템 사용 경험은?,p1354road
개인,Q1354-2,사용 목적은?,p1354purpose
개인,Q1354-3,사용 시 장애 요인은?,p1354barrier
개인,Q1354-4,정부 도로 감시 정책 인식은?,p1354govpolicy
개인,Q1354-5,향후 정책 기대는?,p1354govhope
개인,Q1355-1,디지털 직무의 AI 기반 환경 모니터링 시스템 사용 경험은?,p1355env
개인,Q1355-2,사용 목적은?,p1355purpose
개인,Q1355-3,사용 시 장애 요인은?,p1355barrier
개인,Q1355-4,정부 환경 모니터링 정책 인식은?,p1355govpolicy
개인,Q1355-5,향후 정책 기대는?,p1355govhope
개인,Q1356-1,디지털 직무의 AI 기반 재난 경보 시스템 사용 경험은?,p1356disaster
개인,Q1356-2,사용 목적은?,p1356purpose
개인,Q1356-3,사용 시 장애 요인은?,p1356barrier
개인,Q1356-4,정부 재난 경보 정책 인식은?,p1356govpolicy
개인,Q1356-5,향후 정책 기대는?,p1356govhope
개인,Q1357-1,디지털 직무의 AI 기반 구조 지원 시스템 사용 경험은?,p1357rescue
개인,Q1357-2,사용 목적은?,p1357purpose
개인,Q1357-3,사용 시 장애 요인은?,p1357barrier
개인,Q1357-4,정부 구조 지원 정책 인식은?,p1357govpolicy
개인,Q1357-5,향후 정책 기대는?,p1357govhope
