구분,문항 번호,질문 내용,변수명
개인,Q449-1,디지털 기술 변화에 대한 사회적 신뢰도는?,p449trust
개인,Q449-2,신뢰 저하 요인은?,p449barrier
개인,Q449-3,신뢰 회복을 위한 노력은?,p449effort
개인,Q449-4,정부의 신뢰 정책 체감도는?,p449govfeel
개인,Q449-5,향후 신뢰 정책 기대는?,p449govhope
개인,Q450-1,디지털 기술로 인한 경제활동 변화 인식은?,p450economic
개인,Q450-2,긍정적 경제 효과는?,p450positive
개인,Q450-3,부정적 경제 영향은?,p450negative
개인,Q450-4,정부 경제정책 인식은?,p450govpolicy
개인,Q450-5,향후 경제활동 지원 기대는?,p450govhope
개인,Q451-1,디지털 기술의 문화 다양성 영향 인식은?,p451diversity
개인,Q451-2,긍정적 문화 다양성 사례는?,p451positive
개인,Q451-3,부정적 문화 충돌 사례는?,p451negative
개인,Q451-4,정부 문화 다양성 정책 인식은?,p451govpolicy
개인,Q451-5,향후 문화정책 기대는?,p451govhope
개인,Q452-1,디지털 기술에 대한 교육 기회 경험은?,p452opportunity
개인,Q452-2,교육 기회의 형평성 인식은?,p452equality
개인,Q452-3,기회 불균형 경험은?,p452inequality
개인,Q452-4,정부 교육 기회 정책 인식은?,p452govpolicy
개인,Q452-5,향후 기회 확대 기대는?,p452govhope
개인,Q453-1,디지털 기술 이용 과정에서 느낀 불공정 경험은?,p453unfair
개인,Q453-2,불공정 해결 노력은?,p453effort
개인,Q453-3,정부 불공정 해소 정책 체감도는?,p453govfeel
개인,Q453-4,불공정 해소 방안 제안은?,p453suggest
개인,Q453-5,향후 공정 정책 기대는?,p453govhope
