구분,문항 번호,질문 내용,변수명
개인,Q834-1,디지털 직무의 직무 몰입 수준은?,p834engagement
개인,Q834-2,몰입 요인은?,p834factor
개인,Q834-3,몰입 저해 요인은?,p834barrier
개인,Q834-4,정부 직무 몰입 정책 인식은?,p834govpolicy
개인,Q834-5,향후 정책 기대는?,p834govhope
개인,Q835-1,디지털 직무의 생산성 인식은?,p835productivity
개인,Q835-2,생산성 향상 요인은?,p835factor
개인,Q835-3,생산성 저해 요인은?,p835barrier
개인,Q835-4,정부 생산성 정책 인식은?,p835govpolicy
개인,Q835-5,향후 정책 기대는?,p835govhope
개인,Q836-1,디지털 직무의 근무 시간 만족도는?,p836hours
개인,Q836-2,만족 요인은?,p836factor
개인,Q836-3,불만족 요인은?,p836barrier
개인,Q836-4,정부 근무 시간 정책 인식은?,p836govpolicy
개인,Q836-5,향후 정책 기대는?,p836govhope
개인,Q837-1,디지털 직무의 평생학습 참여도는?,p837learning
개인,Q837-2,참여 목적은?,p837purpose
개인,Q837-3,참여 어려움은?,p837barrier
개인,Q837-4,정부 평생학습 정책 인식은?,p837govpolicy
개인,Q837-5,향후 정책 기대는?,p837govhope
