구분,문항 번호,질문 내용,변수명
개인,Q1002-1,디지털 직무의 자율성과 책임 인식은?,p1002autonomy
개인,Q1002-2,자율성 확대 필요성은?,p1002need
개인,Q1002-3,자율성 저해 요인은?,p1002barrier
개인,Q1002-4,정부 자율성 정책 인식은?,p1002govpolicy
개인,Q1002-5,향후 정책 기대는?,p1002govhope
개인,Q1003-1,디지털 직무의 윤리적 판단 경험은?,p1003ethics
개인,Q1003-2,판단 기준은?,p1003criteria
개인,Q1003-3,판단 어려움은?,p1003barrier
개인,Q1003-4,정부 윤리 교육 정책 인식은?,p1003govpolicy
개인,Q1003-5,향후 정책 기대는?,p1003govhope
개인,Q1004-1,디지털 직무의 경력 목표 설정 여부는?,p1004goal
개인,Q1004-2,목표 달성 전략은?,p1004strategy
개인,Q1004-3,경력 개발의 어려움은?,p1004barrier
개인,Q1004-4,정부 경력 지원 정책 인식은?,p1004govpolicy
개인,Q1004-5,향후 정책 기대는?,p1004govhope
개인,Q1005-1,디지털 직무의 일과 삶의 균형 인식은?,p1005balance
개인,Q1005-2,균형 유지 방법은?,p1005method
개인,Q1005-3,균형 저해 요인은?,p1005barrier
개인,Q1005-4,정부 워라밸 정책 인식은?,p1005govpolicy
개인,Q1005-5,향후 정책 기대는?,p1005govhope
