구분,문항 번호,질문 내용,변수명
개인,Q678-1,디지털 직무의 문화 다양성 수용 인식은?,p678diversity
개인,Q678-2,다양성 수용 실천은?,p678practice
개인,Q678-3,수용 장애 요인은?,p678barrier
개인,Q678-4,정부 다양성 정책 인식은?,p678govpolicy
개인,Q678-5,향후 정책 기대는?,p678govhope
개인,Q679-1,디지털 직무의 지속 가능 사회 기여 인식은?,p679sustain
개인,Q679-2,기여 실천 경험은?,p679practice
개인,Q679-3,기여 저해 요인은?,p679barrier
개인,Q679-4,정부 지속 가능 사회 정책 인식은?,p679govpolicy
개인,Q679-5,향후 정책 기대는?,p679govhope
개인,Q680-1,디지털 직무의 생애 설계 지원 인식은?,p680plan
개인,Q680-2,생애 설계 경험은?,p680experience
개인,Q680-3,설계의 어려움은?,p680barrier
개인,Q680-4,정부 생애 설계 정책 인식은?,p680govpolicy
개인,Q680-5,향후 정책 기대는?,p680govhope
개인,Q681-1,디지털 직무의 지역 사회 연계 인식은?,p681community
개인,Q681-2,연계 경험은?,p681experience
개인,Q681-3,연계의 어려움은?,p681barrier
개인,Q681-4,정부 지역사회 연계 정책 인식은?,p681govpolicy
개인,Q681-5,향후 정책 기대는?,p681govhope
