구분,문항 번호,질문 내용,변수명
개인,Q159-1,친환경 식품 인식 수준은?,p159ecofoodaware
개인,Q159-2,구매 경험은?,p159ecofoodbuy
개인,Q159-3,구매 이유는?,p159ecofoodwhy
개인,Q159-4,장애 요인은?,p159ecofoodbarrier
개인,Q159-5,향후 구매 의향은?,p159ecofoodwill
개인,Q160-1,지속가능 농산물 인식은?,p160sustainagriaware
개인,Q160-2,이용 경험은?,p160sustainagribuy
개인,Q160-3,이용 이유는?,p160sustainagriwhy
개인,Q160-4,장애 요인은?,p160sustainagribarrier
개인,Q160-5,향후 구매 의향은?,p160sustainagriwill
개인,Q161-1,환경 정책 홍보 인식은?,p161envpromoteaware
개인,Q161-2,접한 홍보 채널은?,p161envchannel
개인,Q161-3,홍보 효과 인식은?,p161enveffect
개인,Q161-4,홍보 만족도는?,p161envsat
개인,Q161-5,향후 개선 요구는?,p161envimprove
개인,Q162-1,친환경 캠페인 참여 경험은?,p162ecocampjoin
개인,Q162-2,참여 활동 종류는?,p162ecocamptype
개인,Q162-3,참여 동기는?,p162ecowhy
개인,Q162-4,만족도는?,p162ecosat
개인,Q162-5,지속 참여 의향은?,p162ecowill
개인,Q163-1,기후행동 캠페인 인식은?,p163climatecampaware
개인,Q163-2,참여 경험은?,p163climatecampexp
개인,Q163-3,캠페인 효과 인식은?,p163climatecampeffect
개인,Q163-4,향후 참여 의향은?,p163climatecampwill
개인,Q163-5,정부 지원 필요성 인식은?,p163climategovsupport
