구분,문항 번호,질문 내용,변수명
개인,Q384-1,디지털 기술 수용성 인식은?,p384accept
개인,Q384-2,수용성 장애 요인은?,p384barrier
개인,Q384-3,수용 촉진 요인은?,p384promote
개인,Q384-4,정부 수용 지원 인식은?,p384govsupport
개인,Q384-5,정책 개선 기대는?,p384govhope
개인,Q385-1,디지털 교육 참여 경험은?,p385eduexp
개인,Q385-2,교육 만족도는?,p385edusat
개인,Q385-3,교육 부족 인식은?,p385edulack
개인,Q385-4,향후 교육 참여 의향은?,p385eduwill
개인,Q385-5,정부 교육 확대 필요성 인식은?,p385govneed
개인,Q386-1,디지털 기술 변화 수용 태도는?,p386attitude
개인,Q386-2,긍정 수용 요인은?,p386positive
개인,Q386-3,부정 수용 요인은?,p386negative
개인,Q386-4,수용 태도 변화 기대는?,p386change
개인,Q386-5,정부 정책의 영향력은?,p386govimpact
개인,Q387-1,디지털 정보 활용 실태는?,p387status
개인,Q387-2,정보 접근 경로는?,p387channel
개인,Q387-3,활용 만족도는?,p387sat
개인,Q387-4,개선 필요 영역은?,p387fix
개인,Q387-5,정부 정보 정책 체감도는?,p387govfeel
개인,Q388-1,디지털 환경 적응 수준은?,p388adapt
개인,Q388-2,적응 과정의 어려움은?,p388difficulty
개인,Q388-3,지원 필요성 인식은?,p388need
개인,Q388-4,정부 지원 정책 체감도는?,p388govsupport
개인,Q388-5,정책 개선 기대는?,p388govhope
