구분,문항 번호,질문 내용,변수명
개인,Q1094-1,디지털 직무의 갈등 조정 경험은?,p1094conflict
개인,Q1094-2,갈등 발생 원인은?,p1094cause
개인,Q1094-3,갈등 조정 전략은?,p1094strategy
개인,Q1094-4,정부 갈등 조정 정책 인식은?,p1094govpolicy
개인,Q1094-5,향후 정책 기대는?,p1094govhope
개인,Q1095-1,디지털 직무의 자율적 업무 조정 경험은?,p1095adjust
개인,Q1095-2,업무 조정의 어려움은?,p1095barrier
개인,Q1095-3,조정 능력 향상 방안은?,p1095solution
개인,Q1095-4,정부 자율 업무 정책 인식은?,p1095govpolicy
개인,Q1095-5,향후 정책 기대는?,p1095govhope
개인,Q1096-1,디지털 직무의 조직 문화 인식은?,p1096culture
개인,Q1096-2,조직 문화 개선 필요성은?,p1096need
개인,Q1096-3,조직 문화 개선 방안은?,p1096solution
개인,Q1096-4,정부 조직 문화 정책 인식은?,p1096govpolicy
개인,Q1096-5,향후 정책 기대는?,p1096govhope
개인,Q1097-1,디지털 직무의 사회적 가치 인식은?,p1097value
개인,Q1097-2,사회적 가치 실현 경험은?,p1097experience
개인,Q1097-3,가치 실현 장애 요인은?,p1097barrier
개인,Q1097-4,정부 가치 정책 인식은?,p1097govpolicy
개인,Q1097-5,향후 정책 기대는?,p1097govhope
