구분,문항 번호,질문 내용,변수명
개인,Q982-1,디지털 직무의 사회적 기여 인식은?,p982contribution
개인,Q982-2,기여 실감 요인은?,p982factor
개인,Q982-3,기여 인식 부족 원인은?,p982barrier
개인,Q982-4,정부 사회 기여 지원 정책 인식은?,p982govpolicy
개인,Q982-5,향후 정책 기대는?,p982govhope
개인,Q983-1,디지털 직무의 문화적 다양성 인식은?,p983diversity
개인,Q983-2,다양성 존중 경험은?,p983respect
개인,Q983-3,차별 또는 배제 경험은?,p983exclusion
개인,Q983-4,정부 다양성 증진 정책 인식은?,p983govpolicy
개인,Q983-5,향후 정책 기대는?,p983govhope
개인,Q984-1,디지털 직무의 포용적 조직 문화 인식은?,p984inclusion
개인,Q984-2,포용성 향상을 위한 노력은?,p984effort
개인,Q984-3,포용성 부족 사례는?,p984lack
개인,Q984-4,정부 포용 정책 인식은?,p984govpolicy
개인,Q984-5,향후 정책 기대는?,p984govhope
개인,Q985-1,디지털 직무의 지역사회 연계 경험은?,p985community
개인,Q985-2,연계 방식은?,p985method
개인,Q985-3,연계에 따른 효과는?,p985effect
개인,Q985-4,정부 지역 연계 정책 인식은?,p985govpolicy
개인,Q985-5,향후 정책 기대는?,p985govhope
