구분,문항 번호,질문 내용,변수명
개인,Q1018-1,디지털 직무의 고용 안정성 인식은?,p1018stability
개인,Q1018-2,고용 불안 원인은?,p1018cause
개인,Q1018-3,안정성 확보 방안은?,p1018solution
개인,Q1018-4,정부 고용 안정 정책 인식은?,p1018govpolicy
개인,Q1018-5,향후 정책 기대는?,p1018govhope
개인,Q1019-1,디지털 직무의 업무 몰입 경험은?,p1019engagement
개인,Q1019-2,몰입 촉진 요인은?,p1019factor
개인,Q1019-3,몰입 저해 요인은?,p1019barrier
개인,Q1019-4,정부 몰입 촉진 정책 인식은?,p1019govpolicy
개인,Q1019-5,향후 정책 기대는?,p1019govhope
개인,Q1020-1,디지털 직무의 조직 시민 행동 인식은?,p1020ocb
개인,Q1020-2,조직 시민 행동 실천 경험은?,p1020experience
개인,Q1020-3,조직 시민 행동 촉진 요인은?,p1020factor
개인,Q1020-4,정부 조직 시민 행동 정책 인식은?,p1020govpolicy
개인,Q1020-5,향후 정책 기대는?,p1020govhope
개인,Q1021-1,디지털 직무의 공정한 평가 경험은?,p1021fairness
개인,Q1021-2,평가 기준 인식은?,p1021criteria
개인,Q1021-3,불공정 사례 경험은?,p1021unfair
개인,Q1021-4,정부 공정 평가 정책 인식은?,p1021govpolicy
개인,Q1021-5,향후 정책 기대는?,p1021govhope
