구분,문항 번호,질문 내용,변수명
개인,Q754-1,디지털 직무의 사회 참여 기회 인식은?,p754participation
개인,Q754-2,참여 형태는?,p754type
개인,Q754-3,참여 장애 요인은?,p754barrier
개인,Q754-4,정부 사회 참여 정책 인식은?,p754govpolicy
개인,Q754-5,향후 정책 기대는?,p754govhope
개인,Q755-1,디지털 직무의 사회적 책임 인식은?,p755responsibility
개인,Q755-2,책임 이행 경험은?,p755experience
개인,Q755-3,책임 이행 장애 요인은?,p755barrier
개인,Q755-4,정부 사회적 책임 정책 인식은?,p755govpolicy
개인,Q755-5,향후 정책 기대는?,p755govhope
개인,Q756-1,디지털 직무의 정보 접근성 인식은?,p756access
개인,Q756-2,정보 접근 방식은?,p756method
개인,Q756-3,정보 접근 장애 요인은?,p756barrier
개인,Q756-4,정부 정보 접근성 정책 인식은?,p756govpolicy
개인,Q756-5,향후 정책 기대는?,p756govhope
개인,Q757-1,디지털 직무의 미래 기대감 수준은?,p757expectation
개인,Q757-2,기대감의 원인은?,p757factor
개인,Q757-3,기대감 저해 요인은?,p757barrier
개인,Q757-4,정부 기대감 제고 정책 인식은?,p757govpolicy
개인,Q757-5,향후 정책 기대는?,p757govhope
