구분,문항 번호,질문 내용,변수명
개인,Q674-1,디지털 직무의 혁신 기여 인식은?,p674innovation
개인,Q674-2,혁신 사례는?,p674case
개인,Q674-3,혁신 저해 요인은?,p674barrier
개인,Q674-4,정부 혁신 정책 인식은?,p674govpolicy
개인,Q674-5,향후 정책 기대는?,p674govhope
개인,Q675-1,디지털 직무의 글로벌 협업 경험 여부는?,p675global
개인,Q675-2,협업 방식은?,p675method
개인,Q675-3,협업의 어려움은?,p675barrier
개인,Q675-4,정부 글로벌 협업 정책 인식은?,p675govpolicy
개인,Q675-5,향후 정책 기대는?,p675govhope
개인,Q676-1,디지털 직무의 평생학습 영향 인식은?,p676learning
개인,Q676-2,학습 실천 경험은?,p676practice
개인,Q676-3,학습 장애 요인은?,p676barrier
개인,Q676-4,정부 평생학습 정책 인식은?,p676govpolicy
개인,Q676-5,향후 정책 기대는?,p676govhope
개인,Q677-1,디지털 직무의 지속 가능성 인식은?,p677sustain
개인,Q677-2,지속 가능성 장애 요인은?,p677barrier
개인,Q677-3,지속 가능성 강화를 위한 노력은?,p677effort
개인,Q677-4,정부 지속 가능 정책 인식은?,p677govpolicy
개인,Q677-5,향후 정책 기대는?,p677govhope
