구분,문항 번호,질문 내용,변수명
개인,Q324-1,디지털 기술에 대한 기대는?,p324techhope
개인,Q324-2,기대하는 기술 영역은?,p324techarea
개인,Q324-3,기대하는 사회 변화는?,p324socchange
개인,Q324-4,변화에 대한 준비도는?,p324ready
개인,Q324-5,정부 역할에 대한 기대는?,p324govrole
개인,Q325-1,디지털 사회의 평등 인식은?,p325equalaware
개인,Q325-2,불평등 체감 영역은?,p325inequalarea
개인,Q325-3,해결 방안 인식은?,p325solution
개인,Q325-4,정책 참여 경험은?,p325poljoin
개인,Q325-5,향후 변화 기대는?,p325futurehope
개인,Q326-1,디지털 소외 집단 인식은?,p326exgroupaware
개인,Q326-2,주요 소외 원인은?,p326exreason
개인,Q326-3,해소 노력 필요성 인식은?,p326fixneed
개인,Q326-4,정부 정책 효과 인식은?,p326polimpact
개인,Q326-5,추가 정책 제안은?,p326polsuggest
개인,Q327-1,디지털 기회 체감 수준은?,p327oppfeel
개인,Q327-2,기회 부족 경험은?,p327oppmiss
개인,Q327-3,기회 확대 필요성 인식은?,p327oppneed
개인,Q327-4,정부 지원 기대는?,p327govsupport
개인,Q327-5,향후 참여 의향은?,p327will
개인,Q328-1,디지털 정책 개선 제안 여부는?,p328suggest
개인,Q328-2,개선 제안 내용은?,p328suggestdetail
개인,Q328-3,참여 경로는?,p328channel
개인,Q328-4,참여 경험 만족도는?,p328satisfaction
개인,Q328-5,향후 참여 의향은?,p328will
