구분,문항 번호,질문 내용,변수명
개인,Q669-1,디지털 직무의 차별 경험 여부는?,p669discrimination
개인,Q669-2,차별 유형은?,p669type
개인,Q669-3,차별 해소 노력은?,p669effort
개인,Q669-4,정부 차별 해소 정책 인식은?,p669govpolicy
개인,Q669-5,향후 정책 기대는?,p669govhope
개인,Q670-1,디지털 직무에서의 신뢰 형성 수준은?,p670trust
개인,Q670-2,신뢰 형성 요인은?,p670factor
개인,Q670-3,신뢰 저해 요인은?,p670barrier
개인,Q670-4,정부 신뢰 정책 인식은?,p670govpolicy
개인,Q670-5,향후 정책 기대는?,p670govhope
개인,Q671-1,디지털 직무와 리더십 경험 여부는?,p671leadership
개인,Q671-2,리더십 발휘 방식은?,p671method
개인,Q671-3,리더십 발휘의 어려움은?,p671barrier
개인,Q671-4,정부 리더십 정책 인식은?,p671govpolicy
개인,Q671-5,향후 정책 기대는?,p671govhope
개인,Q672-1,디지털 직무의 윤리적 갈등 경험은?,p672ethics
개인,Q672-2,갈등 상황은?,p672situation
개인,Q672-3,해결 방식은?,p672resolution
개인,Q672-4,정부 윤리 지원 정책 인식은?,p672govpolicy
개인,Q672-5,향후 정책 기대는?,p672govhope
개인,Q673-1,디지털 직무의 미래 전망 인식은?,p673future
개인,Q673-2,전망의 긍정 요인은?,p673positive
개인,Q673-3,전망의 부정 요인은?,p673negative
개인,Q673-4,정부 미래 전망 정책 인식은?,p673govpolicy
개인,Q673-5,향후 정책 기대는?,p673govhope
