구분,문항 번호,질문 내용,변수명
개인,Q730-1,디지털 직무의 협업 경험은?,p730collaboration
개인,Q730-2,협업 방식은?,p730method
개인,Q730-3,협업 장애 요인은?,p730barrier
개인,Q730-4,정부 협업 정책 인식은?,p730govpolicy
개인,Q730-5,향후 정책 기대는?,p730govhope
개인,Q731-1,디지털 직무의 평생학습 참여 경험은?,p731learning
개인,Q731-2,참여 동기는?,p731motivation
개인,Q731-3,참여 장애 요인은?,p731barrier
개인,Q731-4,정부 평생학습 정책 인식은?,p731govpolicy
개인,Q731-5,향후 정책 기대는?,p731govhope
개인,Q732-1,디지털 직무의 자기 효능감 수준은?,p732selfefficacy
개인,Q732-2,효능감 향상 요인은?,p732factor
개인,Q732-3,효능감 저해 요인은?,p732barrier
개인,Q732-4,정부 효능감 정책 인식은?,p732govpolicy
개인,Q732-5,향후 정책 기대는?,p732govhope
개인,Q733-1,디지털 직무의 성과 평가 인식은?,p733evaluation
개인,Q733-2,성과 평가 방식은?,p733method
개인,Q733-3,성과 평가의 문제점은?,p733issue
개인,Q733-4,정부 성과 평가 정책 인식은?,p733govpolicy
개인,Q733-5,향후 정책 기대는?,p733govhope
