구분,문항 번호,질문 내용,변수명
개인,Q544-1,디지털 기술의 공정성 인식은?,p544fairness
개인,Q544-2,공정성 훼손 사례 경험은?,p544violation
개인,Q544-3,공정한 사회 실현을 위한 노력은?,p544effort
개인,Q544-4,정부 공정사회 정책 인식은?,p544govpolicy
개인,Q544-5,향후 정책 기대는?,p544govhope
개인,Q545-1,디지털 기술로 인한 인간 존엄성 인식 변화는?,p545dignity
개인,Q545-2,존엄성 훼손 경험은?,p545violation
개인,Q545-3,존엄성 유지 노력이 있었는가?,p545effort
개인,Q545-4,정부 존엄성 보호 정책 인식은?,p545govpolicy
개인,Q545-5,향후 정책 기대는?,p545govhope
개인,Q546-1,디지털 시대의 개인정보 보호 인식은?,p546privacy
개인,Q546-2,개인정보 유출 경험은?,p546leak
개인,Q546-3,개인정보 보호 노력은?,p546effort
개인,Q546-4,정부 개인정보 보호 정책 인식은?,p546govpolicy
개인,Q546-5,향후 정책 기대는?,p546govhope
개인,Q547-1,디지털 기술 관련 사회적 책임 인식은?,p547responsibility
개인,Q547-2,책임 있는 기술 사용 경험은?,p547practice
개인,Q547-3,책임 미이행 사례 경험은?,p547violation
개인,Q547-4,정부 책임 강화 정책 인식은?,p547govpolicy
개인,Q547-5,향후 정책 기대는?,p547govhope
개인,Q548-1,디지털 시민으로서의 권리 인식은?,p548right
개인,Q548-2,권리 침해 경험은?,p548violation
개인,Q548-3,권리 보호 노력은?,p548effort
개인,Q548-4,정부 권리 보장 정책 인식은?,p548govpolicy
개인,Q548-5,향후 정책 기대는?,p548govhope
