구분,문항 번호,질문 내용,변수명
개인,Q858-1,디지털 직무의 기술 변화 대응 능력은?,p858adapt
개인,Q858-2,기술 변화에 대한 스트레스 수준은?,p858stress
개인,Q858-3,대응을 위한 전략은?,p858strategy
개인,Q858-4,정부 기술 변화 대응 정책 인식은?,p858govpolicy
개인,Q858-5,향후 정책 기대는?,p858govhope
개인,Q859-1,디지털 직무의 감정노동 경험은?,p859emotion
개인,Q859-2,감정노동의 주요 원인은?,p859cause
개인,Q859-3,감정노동 해소 방법은?,p859relief
개인,Q859-4,정부 감정노동 보호 정책 인식은?,p859govpolicy
개인,Q859-5,향후 정책 기대는?,p859govhope
개인,Q860-1,디지털 직무의 업무 몰입 시간은?,p860focus
개인,Q860-2,업무 몰입을 방해하는 요인은?,p860barrier
개인,Q860-3,집중력 향상 전략은?,p860strategy
개인,Q860-4,정부 업무 집중 지원 정책 인식은?,p860govpolicy
개인,Q860-5,향후 정책 기대는?,p860govhope
개인,Q861-1,디지털 직무의 팀워크 경험은?,p861teamwork
개인,Q861-2,좋은 팀워크를 위한 요소는?,p861factor
개인,Q861-3,팀워크 저해 요인은?,p861barrier
개인,Q861-4,정부 팀워크 촉진 정책 인식은?,p861govpolicy
개인,Q861-5,향후 정책 기대는?,p861govhope
