구분,문항 번호,질문 내용,변수명
개인,Q569-1,디지털 기술이 지역사회 발전에 미친 영향은?,p569impact
개인,Q569-2,지역사회 발전 체감 경험은?,p569experience
개인,Q569-3,지역 격차 문제 인식은?,p569disparity
개인,Q569-4,정부 지역 균형 발전 정책 인식은?,p569govpolicy
개인,Q569-5,향후 정책 기대는?,p569govhope
개인,Q570-1,디지털 사회에서 문화생활 참여 경험은?,p570participation
개인,Q570-2,문화콘텐츠 이용 방식은?,p570use
개인,Q570-3,문화 격차 체감 여부는?,p570gap
개인,Q570-4,정부 문화 정책 인식은?,p570govpolicy
개인,Q570-5,향후 정책 기대는?,p570govhope
개인,Q571-1,디지털 기술 기반 공공서비스 이용 경험은?,p571use
개인,Q571-2,이용 서비스 유형은?,p571type
개인,Q571-3,이용 만족도는?,p571satisfaction
개인,Q571-4,정부 공공서비스 정책 인식은?,p571govpolicy
개인,Q571-5,향후 정책 기대는?,p571govhope
개인,Q572-1,디지털 기기 사용 시 보안 의식 수준은?,p572security
개인,Q572-2,보안 사고 경험 여부는?,p572incident
개인,Q572-3,보안 강화 노력은?,p572effort
개인,Q572-4,정부 보안 정책 인식은?,p572govpolicy
개인,Q572-5,향후 정책 기대는?,p572govhope
개인,Q573-1,디지털 사회에서 사회적 책임 인식은?,p573responsibility
개인,Q573-2,책임 실천 경험은?,p573practice
개인,Q573-3,실천 시 어려움은?,p573difficulty
개인,Q573-4,정부 책임 관련 정책 인식은?,p573govpolicy
개인,Q573-5,향후 정책 기대는?,p573govhope
