구분,문항 번호,질문 내용,변수명
개인,Q706-1,디지털 직무의 사회적 책임 인식은?,p706responsibility
개인,Q706-2,책임 실천 경험은?,p706practice
개인,Q706-3,실천 장애 요인은?,p706barrier
개인,Q706-4,정부 사회적 책임 정책 인식은?,p706govpolicy
개인,Q706-5,향후 정책 기대는?,p706govhope
개인,Q707-1,디지털 직무의 건강 영향 인식은?,p707health
개인,Q707-2,건강 문제 경험은?,p707issue
개인,Q707-3,건강 관리 노력은?,p707effort
개인,Q707-4,정부 건강 정책 인식은?,p707govpolicy
개인,Q707-5,향후 정책 기대는?,p707govhope
개인,Q708-1,디지털 직무와 관련된 가족관계 변화 인식은?,p708family
개인,Q708-2,변화 요인은?,p708factor
개인,Q708-3,부정적 영향은?,p708negative
개인,Q708-4,정부 가족 정책 인식은?,p708govpolicy
개인,Q708-5,향후 정책 기대는?,p708govhope
개인,Q709-1,디지털 직무의 교육 기회 확대 인식은?,p709education
개인,Q709-2,기회 확대 요인은?,p709factor
개인,Q709-3,제한 요인은?,p709barrier
개인,Q709-4,정부 교육 정책 인식은?,p709govpolicy
개인,Q709-5,향후 정책 기대는?,p709govhope
