구분,문항 번호,질문 내용,변수명
개인,Q574-1,디지털 기술 기반 일자리 창출 인식은?,p574creation
개인,Q574-2,새로운 일자리 경험 여부는?,p574experience
개인,Q574-3,일자리 전환 과정의 어려움은?,p574difficulty
개인,Q574-4,정부 일자리 정책 인식은?,p574govpolicy
개인,Q574-5,향후 정책 기대는?,p574govhope
개인,Q575-1,디지털 사회에서 소외 계층 지원 경험은?,p575support
개인,Q575-2,지원 대상 인식은?,p575target
개인,Q575-3,지원의 효과성은?,p575effect
개인,Q575-4,정부 소외 계층 정책 인식은?,p575govpolicy
개인,Q575-5,향후 정책 기대는?,p575govhope
개인,Q576-1,디지털 기술이 자율성과 통제에 미친 영향은?,p576autonomy
개인,Q576-2,기술로 인한 통제 경험은?,p576control
개인,Q576-3,자율성 확보 노력은?,p576effort
개인,Q576-4,정부 자율성 보장 정책 인식은?,p576govpolicy
개인,Q576-5,향후 정책 기대는?,p576govhope
개인,Q577-1,디지털 기술의 법적 규제에 대한 인식은?,p577regulation
개인,Q577-2,규제 필요성에 대한 의견은?,p577need
개인,Q577-3,규제 수용 가능성은?,p577accept
개인,Q577-4,정부 규제 정책 인식은?,p577govpolicy
개인,Q577-5,향후 정책 기대는?,p577govhope
개인,Q578-1,디지털 기술과 사회윤리의 관계 인식은?,p578ethics
개인,Q578-2,윤리 기준 설정의 필요성 인식은?,p578need
개인,Q578-3,윤리 실천 노력은?,p578effort
개인,Q578-4,정부 윤리 정책 인식은?,p578govpolicy
개인,Q578-5,향후 정책 기대는?,p578govhope
